candidate_id,family,regime,direction,threshold,stop_atr,target_r,max_hold_bars,lookback,body_min,session,trades,trades_per_active_day,wins,win_rate,net_r,average_r,net_pips,profit_factor,maximum_drawdown_r,positive_active_month_share,top_5pct_removed_profit_factor,stage,parameter_sha256,gate_pass
EURF2_3155,scheduled_reversal,transition,dynamic,0.0,0.75,0.9,16,4,0.0,all,593,0.31745182012847967,280,0.47217537942664417,-74.5554440625256,-0.12572587531623203,-261.5611943022312,0.7658326053437314,85.69896142413324,0.38028169014084506,0.6820729447599417,development,e273cd0cca7f23b8fa41cb47891de92dad449ccaa35bd71c80a49f359ea0faf1,False
EURF2_3156,scheduled_reversal,transition,dynamic,0.0,0.75,0.9,32,4,0.0,all,593,0.31745182012847967,281,0.47386172006745364,-75.25557456082268,-0.12690653382938058,-258.181194302225,0.7652474913341123,86.39909192243033,0.39436619718309857,0.6820183553360826,development,1dd1a0ec743689875a72b496f3aea2750606699edf2e5a231881de5a96a9a374,False
EURF2_3157,scheduled_reversal,transition,dynamic,0.0,1.25,0.6,16,4,0.0,all,593,0.31745182012847967,356,0.6003372681281619,-31.820452341485442,-0.05366012199238692,-237.55207754253325,0.8662544930372729,40.69559414840023,0.38028169014084506,0.7917225873389976,development,6a4a60c45c39f6c5bc0db3859acd23ba94261f717dc173c4333aea8863c7af7c,False
EURF2_3158,scheduled_reversal,transition,dynamic,0.0,1.25,0.6,32,4,0.0,all,593,0.31745182012847967,357,0.6020236087689713,-32.29575830386585,-0.05446164975356805,-235.06209058417045,0.86550567807854,42.214928081909875,0.39436619718309857,0.7916339552003208,development,1344e7bba12051feca40362974e27e531826b0620691c9ebcb396e11d5aa4faa,False
EURF2_3159,scheduled_reversal,transition,dynamic,0.0,1.25,0.9,16,4,0.0,all,593,0.31745182012847967,295,0.4974704890387858,-34.101073714934095,-0.057506026500732034,-237.15740326271106,0.8828097086675707,47.97727655276735,0.4507042253521127,0.790956371335874,development,3ed34200901ef313cafe9c234f2896ffb8ab7dfe876084221811ec397e0154f9,False
EURF2_3160,scheduled_reversal,transition,dynamic,0.0,1.25,0.9,32,4,0.0,all,593,0.31745182012847967,296,0.4991568296795953,-41.09575830386956,-0.0693014473926974,-276.96684480589704,0.864004887592823,53.806649118374864,0.4647887323943662,0.7755334578420418,development,dd8a4bdeb75b9ac8d985f4183753fa31ccd5265c77ea1c6b8f18180841100d75,False
EURF2_3161,scheduled_reversal,transition,dynamic,0.0,0.75,0.6,16,4,0.25,all,384,0.20556745182012848,204,0.53125,-67.56047829539153,-0.17593874556091546,-280.5622037714328,0.6333210795802078,69.28020818592466,0.2835820895522388,0.5694569416644859,development,a068201aca559ed33d7b549d583c356d59f3a7728fd96fea2a5c69be6c1a30ff,False
EURF2_3162,scheduled_reversal,transition,dynamic,0.0,0.75,0.6,32,4,0.25,all,384,0.20556745182012848,205,0.5338541666666666,-66.76460200673176,-0.1738661510591973,-265.1222037714329,0.6372448379999108,68.4843318972649,0.2835820895522388,0.5732498788646464,development,3f914c2c601542db68a059f4952acb5b1291ce99d3f73f880af0a1e5586490c0,False
EURF2_3163,scheduled_reversal,transition,dynamic,0.0,0.75,0.9,16,4,0.25,all,384,0.20556745182012848,182,0.4739583333333333,-47.57952591444224,-0.12390501540219334,-168.55358504448634,0.7693866933638496,51.53471557338021,0.40298507462686567,0.6833189921571614,development,33a3fc11f1a12c1ab134be18b891110c4ddc015931dbd6c7d4ad54062e5b2166,False
EURF2_3164,scheduled_reversal,transition,dynamic,0.0,0.75,0.9,32,4,0.25,all,384,0.20556745182012848,183,0.4765625,-47.06460200673482,-0.12256406772587193,-153.39358504448563,0.7723017722660014,51.019791665672784,0.40298507462686567,0.6863367351828409,development,2aa9fa2374151fed246ebc98abc19de94d0d0c114f60377a2df7ad70075084e7,False
