variant_id,action_mode,basis_lookback_bars,basis_z_threshold,widening_bars,minimum_return_gap_atr,stop_atr,target_r,candidate_signals,executable_outcomes,policy_trades,passed,development_1_trades,development_1_trades_per_weekday,development_1_stress_net_r,development_1_stress_profit_factor,development_1_average_stress_r,development_1_closed_drawdown_r,development_1_top_winners_removed_stress_net_r,development_1_positive_month_share,development_2_trades,development_2_trades_per_weekday,development_2_stress_net_r,development_2_stress_profit_factor,development_2_average_stress_r,development_2_closed_drawdown_r,development_2_top_winners_removed_stress_net_r,development_2_positive_month_share,confirmation_trades,confirmation_trades_per_weekday,confirmation_stress_net_r,confirmation_stress_profit_factor,confirmation_average_stress_r,confirmation_closed_drawdown_r,confirmation_top_winners_removed_stress_net_r,confirmation_positive_month_share,minimum_window_pf,minimum_window_frequency
V66_de97b0d44d27f999,CATCHUP,72,2.0,3,0.25,0.5,2.0,496,2,2,False,1,0.0038314176245210726,1.7690768544535944,inf,1.7690768544535944,0.0,0.0,0.08333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0038314176245210726,-1.1232971889535273,0.0,-1.1232971889535273,1.1232971889535273,0.0,0.0,0.0,0.0
V66_dff5e7167fd5b033,FADE,72,2.0,3,0.25,0.5,2.0,496,2,2,False,1,0.0038314176245210726,-1.2309231455463758,0.0,-1.2309231455463758,1.2309231455463758,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0038314176245210726,1.8767028110465007,inf,1.8767028110465007,0.0,0.0,0.08333333333333333,0.0,0.0
V66_e46fc34baa2e0ace,CATCHUP,24,2.5,1,0.25,0.75,2.0,252,15,13,False,5,0.019157088122605363,2.96670005319156,2.2492107433779926,0.593340010638312,2.3748595414487896,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.03065134099616858,-0.2763909301206431,0.9519744557528284,-0.034548866265080386,4.615320351335269,-3.4750612111103,0.16666666666666666,0.0,0.0
V66_f0555afc73f5a4ed,FADE,72,2.0,1,0.25,0.75,1.0,304,14,12,False,7,0.02681992337164751,-8.400324058861127,0.0,-1.200046294123018,8.400324058861127,-2.4692592163620697,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.019157088122605363,-1.736443847742127,0.4967199684278728,-0.34728876954842536,2.59668251383607,0.0,0.08333333333333333,0.0,0.0
V66_f0ec665a7f763394,FADE,24,2.5,3,0.25,0.5,1.0,422,2,2,False,1,0.0038314176245210726,-1.2309231455463758,0.0,-1.2309231455463758,1.2309231455463758,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0038314176245210726,-1.2355004856981202,0.0,-1.2355004856981202,1.2355004856981202,0.0,0.0,0.0,0.0
V66_f186c779cd444c11,CATCHUP,24,1.5,1,0.25,0.75,1.5,410,21,17,False,6,0.022988505747126436,2.782645866713775,2.171709660360046,0.4637743111189625,2.3748595414487896,-1.1949673286596363,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0421455938697318,4.811199933342786,2.04409132009992,0.4373818121220715,2.319510956963958,-1.9731305253060754,0.4166666666666667,0.0,0.0
V66_f2aca1ba3c280bdb,FADE,72,2.5,1,0.25,0.5,1.0,252,1,1,False,1,0.0038314176245210726,-1.2486769146168604,0.0,-1.2486769146168604,1.2486769146168604,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V66_f306492a2da283d0,FADE,72,1.5,1,0.25,0.75,1.0,374,15,13,False,7,0.02681992337164751,-8.400324058861127,0.0,-1.200046294123018,8.400324058861127,-2.4692592163620697,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.022988505747126436,-0.9608462804070295,0.7215143196435657,-0.1601410467345049,2.59668251383607,-1.1612736495642786,0.16666666666666666,0.0,0.0
V66_f3e12a38f96f5afb,FADE,24,2.5,3,0.25,0.5,1.5,422,2,2,False,1,0.0038314176245210726,-1.2309231455463758,0.0,-1.2309231455463758,1.2309231455463758,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0038314176245210726,-1.2355004856981202,0.0,-1.2355004856981202,1.2355004856981202,0.0,0.0,0.0,0.0
V66_f5ec2fdf68a0bad1,FADE,72,2.0,3,0.25,0.5,1.5,496,2,2,False,1,0.0038314176245210726,-1.2309231455463758,0.0,-1.2309231455463758,1.2309231455463758,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0038314176245210726,1.376702811046533,inf,1.376702811046533,0.0,0.0,0.08333333333333333,0.0,0.0
V66_f87fcbe4e0114bf2,CATCHUP,72,2.5,1,0.25,0.75,2.0,252,14,12,False,7,0.02681992337164751,3.8196661215974967,2.1452340687386005,0.5456665887996424,2.3748595414487896,-2.374859541448789,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.019157088122605363,-2.7360890325072598,0.4019236180089969,-0.5472178065014519,4.574815382942874,0.0,0.0,0.0,0.0
V66_fa96b1272814f77d,CATCHUP,72,2.5,1,0.25,0.75,1.5,252,14,12,False,7,0.02681992337164751,1.8222342824925026,1.5463526693430099,0.2603191832132147,2.3748595414487896,-2.374859541448789,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.019157088122605363,-3.2360890325072416,0.29262959013101425,-0.6472178065014483,4.574815382942873,0.0,0.0,0.0,0.0
V66_fb63fb8c2c553e7d,FADE,24,2.5,1,0.25,0.75,2.0,252,15,13,False,5,0.019157088122605363,-6.025989833364126,0.0,-1.2051979666728252,6.025989833364126,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.03065134099616858,-3.2735983899885275,0.5291558194157832,-0.40919979874856593,5.1323884581865755,-3.520343233703972,0.08333333333333333,0.0,0.0
V66_fda08a8c11b8bc03,FADE,24,2.0,1,0.25,0.75,1.0,325,18,15,False,5,0.019157088122605363,-6.025989833364126,0.0,-1.2051979666728252,6.025989833364126,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.038314176245210725,-7.509366660898948,0.18290774641903412,-0.7509366660898948,8.369605326992891,-5.811991866237662,0.08333333333333333,0.0,0.0
V66_fff8a8f7743ad57e,CATCHUP,24,2.5,3,0.25,0.5,1.5,422,2,2,False,1,0.0038314176245210726,1.2690768544535993,inf,1.2690768544535993,0.0,0.0,0.08333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0038314176245210726,-1.2355004856981202,0.0,-1.2355004856981202,1.2355004856981202,0.0,0.0,0.0,0.0
