timeframe,prior_bar_time,next_bar_time,duration_seconds,prior_weekday,prior_hour,next_weekday,next_hour,occurrence_count,present_in_run1,present_in_run2
H1,2016-03-30T20:00:00,2016-03-30T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-03-31T20:00:00,2016-03-31T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-04-01T20:00:00,2016-04-03T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-04-04T20:00:00,2016-04-04T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-04-05T20:00:00,2016-04-05T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-04-06T20:00:00,2016-04-06T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-04-07T20:00:00,2016-04-07T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-04-08T20:00:00,2016-04-10T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-04-11T20:00:00,2016-04-11T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-04-12T20:00:00,2016-04-12T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-04-13T20:00:00,2016-04-13T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-04-14T20:00:00,2016-04-14T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-04-15T20:00:00,2016-04-17T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-04-18T20:00:00,2016-04-18T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-04-19T20:00:00,2016-04-19T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-04-20T20:00:00,2016-04-20T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-04-21T20:00:00,2016-04-21T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-04-22T20:00:00,2016-04-25T00:00:00,187200,4,20,0,0,2,true,true
H1,2016-04-25T20:00:00,2016-04-25T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-04-26T20:00:00,2016-04-26T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-04-27T20:00:00,2016-04-27T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-04-28T20:00:00,2016-04-28T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-04-29T20:00:00,2016-05-01T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-05-02T20:00:00,2016-05-02T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-05-03T20:00:00,2016-05-03T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-05-04T20:00:00,2016-05-04T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-05-05T20:00:00,2016-05-05T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-05-06T20:00:00,2016-05-08T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-05-09T20:00:00,2016-05-09T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-05-10T20:00:00,2016-05-10T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-05-11T20:00:00,2016-05-11T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-05-12T20:00:00,2016-05-12T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-05-13T20:00:00,2016-05-15T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-05-16T20:00:00,2016-05-16T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-05-17T20:00:00,2016-05-17T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-05-18T20:00:00,2016-05-18T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-05-19T20:00:00,2016-05-19T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-05-20T20:00:00,2016-05-22T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-05-23T20:00:00,2016-05-23T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-05-24T20:00:00,2016-05-24T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-05-25T20:00:00,2016-05-25T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-05-26T20:00:00,2016-05-26T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-05-27T20:00:00,2016-05-29T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-05-30T14:00:00,2016-05-30T22:00:00,28800,0,14,0,22,2,true,true
H1,2016-05-31T20:00:00,2016-05-31T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-06-01T20:00:00,2016-06-01T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-06-02T20:00:00,2016-06-02T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-06-03T20:00:00,2016-06-05T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-06-06T20:00:00,2016-06-06T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-06-07T20:00:00,2016-06-07T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-06-08T20:00:00,2016-06-08T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-06-09T20:00:00,2016-06-09T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-06-10T20:00:00,2016-06-12T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-06-13T20:00:00,2016-06-13T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-06-14T20:00:00,2016-06-14T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-06-15T20:00:00,2016-06-15T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-06-16T20:00:00,2016-06-16T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-06-17T20:00:00,2016-06-19T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-06-20T20:00:00,2016-06-20T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-06-21T20:00:00,2016-06-21T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-06-22T20:00:00,2016-06-22T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-06-23T20:00:00,2016-06-23T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-06-24T20:00:00,2016-06-26T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-06-27T20:00:00,2016-06-27T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-06-28T20:00:00,2016-06-28T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-06-29T20:00:00,2016-06-29T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-06-30T20:00:00,2016-06-30T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-07-01T20:00:00,2016-07-03T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-07-04T16:00:00,2016-07-04T22:00:00,21600,0,16,0,22,50,true,true
H1,2016-07-05T20:00:00,2016-07-05T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-07-06T20:00:00,2016-07-06T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-07-07T20:00:00,2016-07-07T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-07-08T20:00:00,2016-07-10T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-07-11T20:00:00,2016-07-11T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-07-12T20:00:00,2016-07-12T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-07-13T20:00:00,2016-07-13T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-07-14T20:00:00,2016-07-14T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-07-15T20:00:00,2016-07-17T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-07-18T20:00:00,2016-07-18T22:00:00,7200,0,20,0,22,940,true,true
H1,2016-07-19T20:00:00,2016-07-19T22:00:00,7200,1,20,1,22,1036,true,true
H1,2016-07-20T20:00:00,2016-07-20T22:00:00,7200,2,20,2,22,1040,true,true
H1,2016-07-21T20:00:00,2016-07-21T22:00:00,7200,3,20,3,22,998,true,true
H1,2016-07-22T20:00:00,2016-07-24T22:00:00,180000,4,20,6,22,954,true,true
H1,2016-07-25T20:00:00,2016-07-25T22:00:00,7200,0,20,0,22,940,true,true
