policy_id,lookback_ms,minimum_nonzero_mid_updates,minimum_absolute_update_imbalance,minimum_absolute_displacement_bps,maximum_spread_bps,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
LB01000__UC10__IM90__DP100__SP300,1000,10,0.9,1.0,3.0,22,18,0.8181818181818182,18,0.8181818181818182,6,12,0.3333333333333333,False
LB01000__UC10__IM90__DP100__SP500,1000,10,0.9,1.0,5.0,22,18,0.8181818181818182,18,0.8181818181818182,6,12,0.3333333333333333,False
LB01000__UC10__IM90__DP200__SP300,1000,10,0.9,2.0,3.0,22,13,0.5909090909090909,13,0.5909090909090909,7,6,0.46153846153846156,False
LB01000__UC10__IM90__DP200__SP500,1000,10,0.9,2.0,5.0,22,13,0.5909090909090909,13,0.5909090909090909,7,6,0.46153846153846156,False
LB01000__UC10__IM90__DP300__SP300,1000,10,0.9,3.0,3.0,22,8,0.36363636363636365,8,0.36363636363636365,3,5,0.375,False
LB01000__UC10__IM90__DP300__SP500,1000,10,0.9,3.0,5.0,22,8,0.36363636363636365,8,0.36363636363636365,3,5,0.375,False
LB01000__UC10__IM90__DP500__SP300,1000,10,0.9,5.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC10__IM90__DP500__SP500,1000,10,0.9,5.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC10__IM90__DP750__SP300,1000,10,0.9,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC10__IM90__DP750__SP500,1000,10,0.9,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM50__DP100__SP300,1000,15,0.5,1.0,3.0,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
LB01000__UC15__IM50__DP100__SP500,1000,15,0.5,1.0,5.0,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
LB01000__UC15__IM50__DP200__SP300,1000,15,0.5,2.0,3.0,22,6,0.2727272727272727,6,0.2727272727272727,3,3,0.5,False
LB01000__UC15__IM50__DP200__SP500,1000,15,0.5,2.0,5.0,22,6,0.2727272727272727,6,0.2727272727272727,3,3,0.5,False
LB01000__UC15__IM50__DP300__SP300,1000,15,0.5,3.0,3.0,22,2,0.09090909090909091,2,0.09090909090909091,2,0,0.0,False
LB01000__UC15__IM50__DP300__SP500,1000,15,0.5,3.0,5.0,22,2,0.09090909090909091,2,0.09090909090909091,2,0,0.0,False
LB01000__UC15__IM50__DP500__SP300,1000,15,0.5,5.0,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM50__DP500__SP500,1000,15,0.5,5.0,5.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
