trade_id,source_id,entry_time_utc,exit_time_utc,pnl_usd
V7_20210127T081500Z_SHORT,V7_SWING_HEALTH,2021-01-27T08:15:00Z,2021-01-27T11:05:00.000Z,6.483680555555555
V7_20210127T122500Z_LONG,V7_SWING_HEALTH,2021-01-27T12:25:00Z,2021-01-27T14:40:00.000Z,-4.765765504236358
V9_BREAK_20210128T003500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-28T00:35:00Z,2021-01-28T10:15:00.000Z,-4.115972222222222
V9_BREAK_20210128T124500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-28T12:45:00Z,2021-01-28T13:10:00.000Z,-3.981076388888889
V7_20210129T134500Z_SHORT,V7_SWING_HEALTH,2021-01-29T13:45:00Z,2021-01-29T14:45:00.000Z,10.775036511311026
V7_20210129T195000Z_SHORT,V7_SWING_HEALTH,2021-01-29T19:50:00Z,2021-01-29T21:00:00.000Z,7.715231330180969
V7_20210201T011500Z_LONG,V7_SWING_HEALTH,2021-02-01T01:15:00Z,2021-02-01T03:05:00.000Z,11.685524440739208
V7_20210201T051500Z_LONG,V7_SWING_HEALTH,2021-02-01T05:15:00Z,2021-02-01T05:45:00.000Z,-3.982291666666667
V7_20210202T002000Z_LONG,V7_SWING_HEALTH,2021-02-02T00:20:00Z,2021-02-02T01:55:00.000Z,6.501909722222222
V25_e91ece46db6d380926f025c5,V25_CHOP,2021-02-02T23:15:00.164000Z,2021-02-03T11:15:05.000Z,2.697845235046092
V7_20210203T110000Z_LONG,V7_SWING_HEALTH,2021-02-03T11:00:00Z,2021-02-03T13:30:00.000Z,6.488541666666666
V25_3c53606f7b7f762be6ec5f93,V25_CHOP,2021-02-03T23:30:00.029000Z,2021-02-04T01:52:15.000Z,8.129046549151566
V7_20210204T054500Z_LONG,V7_SWING_HEALTH,2021-02-04T05:45:00Z,2021-02-04T06:00:00.000Z,-3.9786458333333337
306f734a3a9525381f56eeb6,R4_CHOP,2021-02-04T04:00:00.100000Z,2021-02-04T07:33:55.000Z,-4.939058754950297
V7_20210208T200000Z_SHORT,V7_SWING_HEALTH,2021-02-08T20:00:00Z,2021-02-09T01:05:00.000Z,-4.0491319444444445
V7_20210211T095500Z_SHORT,V7_SWING_HEALTH,2021-02-11T09:55:00Z,2021-02-11T13:20:00.000Z,-4.024826388888889
V7_20210215T034500Z_SHORT,V7_SWING_HEALTH,2021-02-15T03:45:00Z,2021-02-15T06:55:00.000Z,6.4788194444444445
V7_20210216T153000Z_SHORT,V7_SWING_HEALTH,2021-02-16T15:30:00Z,2021-02-16T23:10:00.000Z,19.55387251836008
V7_20210217T070500Z_SHORT,V7_SWING_HEALTH,2021-02-17T07:05:00Z,2021-02-17T08:05:00.000Z,6.510416666666667
V7_20210217T085500Z_LONG,V7_SWING_HEALTH,2021-02-17T08:55:00Z,2021-02-17T13:25:00.000Z,-4.706622506470136
V7_20210218T091500Z_SHORT,V7_SWING_HEALTH,2021-02-18T09:15:00Z,2021-02-18T12:25:00.000Z,7.121151089214068
V7_20210218T131000Z_SHORT,V7_SWING_HEALTH,2021-02-18T13:10:00Z,2021-02-18T14:35:00.000Z,7.757015438673302
V9_BREAK_20210219T001500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-02-19T00:15:00Z,2021-02-19T01:10:00.000Z,6.511631944444444
V9_BREAK_20210219T014500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-02-19T01:45:00Z,2021-02-19T06:15:00.000Z,10.143072018166047
V9_BREAK_20210222T002000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-02-22T00:20:00Z,2021-02-22T03:45:00.000Z,-4.135179963758868
V7_20210222T011000Z_SHORT,V7_SWING_HEALTH,2021-02-22T01:10:00Z,2021-02-22T06:10:00.000Z,-4.203395114006841
V7_20210224T022000Z_SHORT,V7_SWING_HEALTH,2021-02-24T02:20:00Z,2021-02-24T02:35:00.000Z,-3.9786458333333337
V25_83e66e8456fc578ebec946d3,V25_CHOP,2021-02-24T00:05:01.973000Z,2021-02-24T12:05:05.000Z,2.696865761048965
V7_20210225T083000Z_LONG,V7_SWING_HEALTH,2021-02-25T08:30:00Z,2021-02-25T11:45:00.000Z,-4.778843587032727
V7_20210225T133500Z_LONG,V7_SWING_HEALTH,2021-02-25T13:35:00Z,2021-02-25T15:10:00.000Z,-6.4071151497924985
V9_BREAK_20210226T135000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-02-26T13:50:00Z,2021-02-26T14:50:00.000Z,10.994562660543078
V9_BREAK_20210226T152500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-02-26T15:25:00Z,2021-02-28T23:00:00.000Z,-3.850456686330185
V9_BREAK_20210301T002500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-03-01T00:25:00Z,2021-03-01T02:45:00.000Z,6.784436258408565
V9_BREAK_20210301T080500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-03-01T08:05:00Z,2021-03-01T09:40:00.000Z,6.501909722222222
2da7492623773c7fdfc620bb,R2_DOWNTREND,2021-03-01T12:00:00.113000Z,2021-03-01T13:52:00.000Z,3.2296862375036355
V9_BREAK_20210303T071500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-03-03T07:15:00Z,2021-03-03T07:45:00.000Z,-3.982291666666667
V9_BREAK_20210303T120500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-03-03T12:05:00Z,2021-03-03T13:10:00.000Z,6.509201388888889
V9_BREAK_20210304T061500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-03-04T06:15:00Z,2021-03-04T08:50:00.000Z,-4.012673611111111
V9_BREAK_20210304T142000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-03-04T14:20:00Z,2021-03-04T16:00:00.000Z,-6.374416803989606
V7_20210305T012500Z_LONG,V7_SWING_HEALTH,2021-03-05T01:25:00Z,2021-03-05T07:30:00.000Z,8.674715096767917
V9_BREAK_20210305T120000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-03-05T12:00:00Z,2021-03-05T13:35:00.000Z,-3.998090277777778
V7_20210308T022500Z_SHORT,V7_SWING_HEALTH,2021-03-08T02:25:00Z,2021-03-08T04:00:00.000Z,6.607929135781208
V9_BREAK_20210308T073000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-03-08T07:30:00Z,2021-03-08T08:55:00.000Z,6.504340277777778
V9_BREAK_20210309T012000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-03-09T01:20:00Z,2021-03-09T01:30:00.000Z,-3.977430555555556
V9_BREAK_20210309T054500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-03-09T05:45:00Z,2021-03-09T07:40:00.000Z,6.4970486111111105
V9_BREAK_20210310T000500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-03-10T00:05:00Z,2021-03-10T01:00:00.000Z,-3.988368055555556
V9_BREAK_20210310T011000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-03-10T01:10:00Z,2021-03-10T02:10:00.000Z,6.510416666666667
V7_20210312T012500Z_SHORT,V7_SWING_HEALTH,2021-03-12T01:25:00Z,2021-03-12T03:05:00.000Z,6.500694444444445
V7_20210312T081000Z_LONG,V7_SWING_HEALTH,2021-03-12T08:10:00Z,2021-03-12T09:20:00.000Z,-5.176203788727848
V7_20210315T013000Z_SHORT,V7_SWING_HEALTH,2021-03-15T01:30:00Z,2021-03-15T02:30:00.000Z,6.510416666666667
V7_20210315T042000Z_SHORT,V7_SWING_HEALTH,2021-03-15T04:20:00Z,2021-03-15T09:20:00.000Z,-4.0479166666666675
V7_20210316T105500Z_SHORT,V7_SWING_HEALTH,2021-03-16T10:55:00Z,2021-03-16T14:30:00.000Z,-4.027256944444445
V7_20210316T143500Z_SHORT,V7_SWING_HEALTH,2021-03-16T14:35:00Z,2021-03-16T15:35:00.000Z,9.083403927510115
V7_20210317T095000Z_SHORT,V7_SWING_HEALTH,2021-03-17T09:50:00Z,2021-03-17T11:30:00.000Z,6.500694444444445
V7_20210317T143500Z_SHORT,V7_SWING_HEALTH,2021-03-17T14:35:00Z,2021-03-17T18:05:00.000Z,-5.4405742419242555
V7_20210319T103000Z_LONG,V7_SWING_HEALTH,2021-03-19T10:30:00Z,2021-03-19T13:05:00.000Z,-4.012673611111111
1b0c595a37cd8926f9078e4f,R3_COMPRESSION,2021-03-25T12:00:00.041000Z,2021-03-25T13:01:10.000Z,-3.666981316566224
b37b60963b37028811207f17,R3_COMPRESSION,2021-03-29T13:00:00.173000Z,2021-03-29T19:00:05.000Z,12.237003443747899
d3d947de1456dd95d993743b,R3_COMPRESSION,2021-03-30T03:00:00.710000Z,2021-03-30T22:00:05.000Z,19.008009814821506
V9_BREAK_20210331T124000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-03-31T12:40:00Z,2021-03-31T13:55:00.000Z,6.886212528041736
V9_BREAK_20210331T135500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-03-31T13:55:00Z,2021-03-31T15:00:00.000Z,8.735981621445786
V7_20210405T082000Z_SHORT,V7_SWING_HEALTH,2021-04-05T08:20:00Z,2021-04-05T15:20:00.000Z,-4.077083333333333
V7_20210406T081500Z_SHORT,V7_SWING_HEALTH,2021-04-06T08:15:00Z,2021-04-06T11:55:00.000Z,-4.028472222222223
V7_20210408T090000Z_LONG,V7_SWING_HEALTH,2021-04-08T09:00:00Z,2021-04-08T11:40:00.000Z,6.486111111111111
V7_20210412T130500Z_LONG,V7_SWING_HEALTH,2021-04-12T13:05:00Z,2021-04-12T13:25:00.000Z,-3.979861111111111
caec85551b32c3150d23429a,R4_CHOP,2021-04-12T22:15:00.070000Z,2021-04-13T05:37:35.000Z,6.800473454519648
V7_20210415T083000Z_LONG,V7_SWING_HEALTH,2021-04-15T08:30:00Z,2021-04-15T13:35:00.000Z,6.4508680555555555
V9_BREAK_20210419T121500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-04-19T12:15:00Z,2021-04-19T13:20:00.000Z,7.209574517739716
V9_BREAK_20210419T150000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-04-19T15:00:00Z,2021-04-19T16:25:00.000Z,-5.671332054204408
V7_20210420T083500Z_LONG,V7_SWING_HEALTH,2021-04-20T08:35:00Z,2021-04-20T09:40:00.000Z,-4.423980904046616
V7_20210420T095500Z_LONG,V7_SWING_HEALTH,2021-04-20T09:55:00Z,2021-04-20T14:05:00.000Z,6.980064618503116
V7_20210430T092500Z_LONG,V7_SWING_HEALTH,2021-04-30T09:25:00Z,2021-04-30T12:35:00.000Z,-4.0211805555555555
V7_20210430T124000Z_LONG,V7_SWING_HEALTH,2021-04-30T12:40:00Z,2021-04-30T13:55:00.000Z,-4.1738343364200015
22512254a7206178c14ab885,R4_CHOP,2021-05-03T07:45:00.241000Z,2021-05-03T07:59:35.000Z,-4.202903321550586
V7_20210503T121000Z_SHORT,V7_SWING_HEALTH,2021-05-03T12:10:00Z,2021-05-03T12:25:00.000Z,-3.9786458333333337
V25_188d0d5511d106369ec026fc,V25_CHOP,2021-05-06T03:15:00.384000Z,2021-05-06T12:32:00.000Z,1.5698687193034653
V9_BREAK_20210507T125500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-07T12:55:00Z,2021-05-07T13:05:00.000Z,-7.116177788637776
V9_BREAK_20210507T154500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-07T15:45:00Z,2021-05-07T16:35:00.000Z,-6.825104778790861
V9_BREAK_20210510T150500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-05-10T15:05:00Z,2021-05-10T16:05:00.000Z,-6.881264366801035
V9_BREAK_20210511T014000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-11T01:40:00Z,2021-05-11T02:25:00.000Z,-3.9859375
V9_BREAK_20210511T125500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-05-11T12:55:00Z,2021-05-11T13:20:00.000Z,7.702281593439722
V7_20210512T085500Z_LONG,V7_SWING_HEALTH,2021-05-12T08:55:00Z,2021-05-12T12:35:00.000Z,-4.028472222222223
V9_BREAK_20210512T125500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-12T12:55:00Z,2021-05-12T13:20:00.000Z,-6.495519207690706
V7_20210514T112500Z_SHORT,V7_SWING_HEALTH,2021-05-14T11:25:00Z,2021-05-14T12:15:00.000Z,-3.987152777777778
V9_BREAK_20210518T131500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-05-18T13:15:00Z,2021-05-18T13:25:00.000Z,-4.793510900010995
V9_BREAK_20210519T075500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-05-19T07:55:00Z,2021-05-19T08:15:00.000Z,-3.979861111111111
V9_BREAK_20210520T020500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-20T02:05:00Z,2021-05-20T09:25:00.000Z,-4.380720825497047
V9_BREAK_20210520T135000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-20T13:50:00Z,2021-05-21T01:35:00.000Z,-5.57730151501526
V9_BREAK_20210521T123000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-21T12:30:00Z,2021-05-21T13:50:00.000Z,-3.9944444444444445
V9_BREAK_20210521T135000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-05-21T13:50:00Z,2021-05-23T22:00:00.000Z,-5.791234045278524
V9_BREAK_20210525T070500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-25T07:05:00Z,2021-05-25T07:45:00.000Z,-3.984722222222222
V9_BREAK_20210525T135000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-25T13:50:00Z,2021-05-25T14:10:00.000Z,8.359424510258457
V9_BREAK_20210526T021000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-26T02:10:00Z,2021-05-26T06:10:00.000Z,-4.033333333333334
V9_BREAK_20210526T123500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-26T12:35:00Z,2021-05-26T12:50:00.000Z,-3.9786458333333337
V9_BREAK_20210527T122000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-05-27T12:20:00Z,2021-05-27T12:30:00.000Z,-4.250919693147671
V9_BREAK_20210527T123500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-27T12:35:00Z,2021-05-27T13:25:00.000Z,-5.350663142770403
V7_20210528T123500Z_LONG,V7_SWING_HEALTH,2021-05-28T12:35:00Z,2021-05-28T17:05:00.000Z,8.711236721597952
V7_20210602T084500Z_LONG,V7_SWING_HEALTH,2021-06-02T08:45:00Z,2021-06-02T12:25:00.000Z,6.471527777777777
V7_20210603T103000Z_SHORT,V7_SWING_HEALTH,2021-06-03T10:30:00Z,2021-06-03T12:30:00.000Z,6.495833333333333
V7_20210610T121500Z_LONG,V7_SWING_HEALTH,2021-06-10T12:15:00Z,2021-06-10T12:35:00.000Z,-3.979861111111111
175631c80802161eceb0986e,R4_CHOP,2021-06-13T22:15:00.099000Z,2021-06-14T01:11:30.000Z,7.896362083155944
V25_ba51eb2c22f4087e4ba3503d,V25_CHOP,2021-06-14T02:20:00.124000Z,2021-06-14T08:32:55.000Z,8.08290613931684
2daefaaf76544d03481dd830,R2_DOWNTREND,2021-06-15T16:00:00.200000Z,2021-06-16T17:59:50.000Z,-7.859653901363026
V9_BREAK_20210617T020000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-17T02:00:00Z,2021-06-17T02:00:05.000Z,-1.0214455238275386
fa9af9b42574161089902720,R2_DOWNTREND,2021-06-16T20:00:00.012000Z,2021-06-17T02:00:05.000Z,5.398641731595049
V9_BREAK_20210617T102500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-17T10:25:00Z,2021-06-17T11:45:00.000Z,7.315956669254722
V9_BREAK_20210618T075500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-18T07:55:00Z,2021-06-18T12:20:00.000Z,-4.623574885420669
7a2ca9c7582e1cd4afcefb29,R2_DOWNTREND,2021-06-21T05:00:00.019000Z,2021-06-21T08:12:40.000Z,-9.191223839953517
V9_BREAK_20210621T061000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-21T06:10:00Z,2021-06-21T08:15:00.000Z,7.317728419507145
V9_BREAK_20210621T081500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-21T08:15:00Z,2021-06-21T12:15:00.000Z,-5.606359169413273
V9_BREAK_20210623T133500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-23T13:35:00Z,2021-06-23T14:05:00.000Z,7.929351888002732
V9_BREAK_20210623T151000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-23T15:10:00Z,2021-06-23T18:35:00.000Z,7.822356466209369
V9_BREAK_20210624T145000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-24T14:50:00Z,2021-06-24T15:10:00.000Z,-4.771024187939792
V9_BREAK_20210625T145000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-25T14:50:00Z,2021-06-27T22:00:00.000Z,-2.713382918161798
4095bbeb124fce532383faff,R4_CHOP,2021-06-29T07:15:00.171000Z,2021-06-29T09:34:20.000Z,1.6037379309500803
V9_BREAK_20210630T080000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-30T08:00:00Z,2021-06-30T09:15:00.000Z,-3.993229166666667
V9_BREAK_20210630T123000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-30T12:30:00Z,2021-06-30T13:50:00.000Z,-4.402055434144791
V7_20210701T112500Z_SHORT,V7_SWING_HEALTH,2021-07-01T11:25:00Z,2021-07-01T13:05:00.000Z,-3.9993055555555554
V7_20210707T082500Z_SHORT,V7_SWING_HEALTH,2021-07-07T08:25:00Z,2021-07-07T12:20:00.000Z,-4.032118055555555
804a75e19ed0037c31124e48,R4_CHOP,2021-07-14T03:45:00.490000Z,2021-07-14T12:05:25.000Z,7.5384884801849195
a996e072cf684ce67743532d,R4_CHOP,2021-07-19T06:15:00.307000Z,2021-07-19T12:00:50.000Z,6.839955022829352
V7_20210722T130000Z_SHORT,V7_SWING_HEALTH,2021-07-22T13:00:00Z,2021-07-22T15:30:00.000Z,-5.257825132739672
V7_20210803T093000Z_LONG,V7_SWING_HEALTH,2021-08-03T09:30:00Z,2021-08-04T11:35:00.000Z,6.144618055555555
V9_BREAK_20210810T124500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-08-10T12:45:00Z,2021-08-10T13:05:00.000Z,-4.183181378401151
V7_20210811T093500Z_SHORT,V7_SWING_HEALTH,2021-08-11T09:35:00Z,2021-08-11T10:30:00.000Z,-3.988368055555556
V9_BREAK_20210811T073500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-08-11T07:35:00Z,2021-08-11T12:10:00.000Z,6.458159722222222
V9_BREAK_20210812T152500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-08-12T15:25:00Z,2021-08-13T06:30:00.000Z,7.661433215149934
V9_BREAK_20210813T123500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-08-13T12:35:00Z,2021-08-13T14:05:00.000Z,6.503125
V7_20210824T104500Z_SHORT,V7_SWING_HEALTH,2021-08-24T10:45:00Z,2021-08-24T12:45:00.000Z,-4.004166666666667
V7_20210825T113500Z_LONG,V7_SWING_HEALTH,2021-08-25T11:35:00Z,2021-08-25T13:45:00.000Z,-4.006597222222222
V7_20210830T084500Z_SHORT,V7_SWING_HEALTH,2021-08-30T08:45:00Z,2021-08-31T06:35:00.000Z,-4.293402777777778
V7_20210831T090000Z_LONG,V7_SWING_HEALTH,2021-08-31T09:00:00Z,2021-08-31T12:35:00.000Z,-4.027256944444445
V25_d0284accca0b7b8971d1be8b,V25_CHOP,2021-09-02T23:35:01.615000Z,2021-09-03T01:02:05.000Z,-3.3805629780362305
V7_20210908T122500Z_SHORT,V7_SWING_HEALTH,2021-09-08T12:25:00Z,2021-09-08T13:45:00.000Z,6.5055555555555555
V7_20210913T122500Z_SHORT,V7_SWING_HEALTH,2021-09-13T12:25:00Z,2021-09-13T13:35:00.000Z,-3.992013888888889
41d0eda3f22d068562cf905d,R2_DOWNTREND,2021-09-13T07:00:00.012000Z,2021-09-13T13:59:45.000Z,-6.098782684514347
V7_20210915T081000Z_SHORT,V7_SWING_HEALTH,2021-09-15T08:10:00Z,2021-09-15T12:25:00.000Z,-4.036979166666667
V9_BREAK_20210920T142500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-09-20T14:25:00Z,2021-09-20T16:10:00.000Z,-5.698514475805774
V9_BREAK_20210921T122500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-09-21T12:25:00Z,2021-09-21T15:20:00.000Z,6.955272101222418
dd450d2862b34bb2042ebea4,R4_CHOP,2021-10-13T08:15:01.028000Z,2021-10-13T11:55:30.000Z,5.589665539558015
V7_20211013T125500Z_LONG,V7_SWING_HEALTH,2021-10-13T12:55:00Z,2021-10-13T13:40:00.000Z,10.563934579015566
V7_20211014T081000Z_SHORT,V7_SWING_HEALTH,2021-10-14T08:10:00Z,2021-10-14T09:25:00.000Z,-3.993229166666667
V9_BREAK_20211014T134000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-10-14T13:40:00Z,2021-10-14T14:05:00.000Z,-4.629155265678218
V9_BREAK_20211015T122000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-10-15T12:20:00Z,2021-10-15T12:55:00.000Z,6.516493055555555
V25_4195f266adf330da52e51662,V25_CHOP,2021-10-21T02:30:00.021000Z,2021-10-21T05:19:05.000Z,-4.378902572204688
V25_0c18b498e967dad11fe20f40,V25_CHOP,2021-10-21T05:30:00.195000Z,2021-10-21T07:03:25.000Z,-4.315369936075698
4b4ed947fa2eb7efe9b44ac3,R4_CHOP,2021-10-22T06:45:00.102000Z,2021-10-22T12:28:35.000Z,5.759470426220839
V7_20211022T091000Z_LONG,V7_SWING_HEALTH,2021-10-22T09:10:00Z,2021-10-22T12:30:00.000Z,6.476388888888889
V9_BREAK_20211025T135500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-10-25T13:55:00Z,2021-10-25T14:05:00.000Z,-4.632580183633247
V9_BREAK_20211026T133500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-10-26T13:35:00Z,2021-10-26T19:45:00.000Z,-5.618630834596794
V7_20211101T055500Z_SHORT,V7_SWING_HEALTH,2021-11-01T05:55:00Z,2021-11-01T12:25:00.000Z,-4.069791666666666
