month,training_start_utc,training_cutoff_utc,training_signals,score_signals,validated_composite_subregimes,selected_signals,status
2024-05,2021-05-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,2456,93,1,4,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-06,2021-06-01T00:00:00+00:00,2024-06-01T00:00:00+00:00,2479,61,1,1,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-07,2021-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,2465,50,1,5,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-08,2021-08-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,2415,28,1,2,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-09,2021-09-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,2377,44,1,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-10,2021-10-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,2352,22,1,2,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-11,2021-11-01T00:00:00+00:00,2024-11-01T00:00:00+00:00,2309,21,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2024-12,2021-12-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,2296,101,1,1,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-01,2022-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2287,77,2,6,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-02,2022-02-01T00:00:00+00:00,2025-02-01T00:00:00+00:00,2305,88,1,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-03,2022-03-01T00:00:00+00:00,2025-03-01T00:00:00+00:00,2346,30,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-04,2022-04-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,2316,39,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-05,2022-05-01T00:00:00+00:00,2025-05-01T00:00:00+00:00,2309,88,1,5,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-06,2022-06-01T00:00:00+00:00,2025-06-01T00:00:00+00:00,2332,73,1,3,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-07,2022-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,2318,42,1,4,PAST_ONLY_VALIDATED_CONSENSUS_FIT
