trade_id,expert,cell_id,symbol,broker,cost_model,entry_time_utc,exit_time_utc,direction,entry_price,stop_loss,take_profit,exit_price,net_pnl,r_multiple,setup_reason_code,chart_context_start_utc,chart_context_end_utc,manual_failure_class,manual_notes,reviewer,reviewed_at_utc
trend_pullback-cell4-370,trend_pullback,4,XAUUSD,pepperstone,best_case,2019-05-28T08:40:00+00:00,2019-05-28T15:05:00+00:00,LONG,1283.785,1282.3171204340706,1285.899319348894,1282.3171204340706,-46.972146109743335,-0.980615866430104,market_next_bar_open,2019-05-28T04:40:00+00:00,2019-05-28T16:05:00+00:00,,,,
trend_pullback-cell4-998,trend_pullback,4,XAUUSD,pepperstone,best_case,2020-02-04T22:50:00+00:00,2020-02-04T23:00:00+00:00,SHORT,1553.775,1554.9598140893163,1552.085278866025,1554.9598140893163,-49.762191751290175,-0.9929398722747802,market_next_bar_open,2020-02-04T18:50:00+00:00,2020-02-05T00:00:00+00:00,,,,
trend_pullback-cell4-1307,trend_pullback,4,XAUUSD,pepperstone,best_case,2020-06-08T06:40:00+00:00,2020-06-08T07:10:00+00:00,SHORT,1687.845,1689.0206133661598,1686.2440799507606,1689.0206133661598,-44.67330791406948,-0.9880309432193743,market_next_bar_open,2020-06-08T02:40:00+00:00,2020-06-08T08:10:00+00:00,,,,
trend_pullback-cell4-1389,trend_pullback,4,XAUUSD,pepperstone,best_case,2020-07-13T15:10:00+00:00,2020-07-13T15:15:00+00:00,LONG,1808.48,1806.9536789022425,1810.644481646637,1806.9536789022425,-39.6843485417021,-0.968509054806599,market_next_bar_open,2020-07-13T11:10:00+00:00,2020-07-13T16:15:00+00:00,,,,
trend_pullback-cell4-1966,trend_pullback,4,XAUUSD,pepperstone,best_case,2021-02-05T08:20:00+00:00,2021-02-05T09:10:00+00:00,SHORT,1797.065,1799.2882948200236,1793.967557769965,1799.2882948200236,-33.34942230035267,-0.9914101817597926,market_next_bar_open,2021-02-05T04:20:00+00:00,2021-02-05T10:10:00+00:00,,,,
trend_pullback-cell4-2115,trend_pullback,4,XAUUSD,pepperstone,best_case,2021-03-30T21:25:00+00:00,2021-03-31T01:45:00+00:00,SHORT,1683.615,1685.7019785393595,1680.47203219096,1685.7019785393595,-31.30467809039601,-0.9661337143206428,market_next_bar_open,2021-03-30T17:25:00+00:00,2021-03-31T02:45:00+00:00,,,,
trend_pullback-cell4-2483,trend_pullback,4,XAUUSD,pepperstone,best_case,2021-07-27T16:55:00+00:00,2021-07-28T06:05:00+00:00,SHORT,1800.745,1805.1096752951144,1794.2604870573284,1805.1096752951144,-30.552727065801268,-0.9461661154605672,market_next_bar_open,2021-07-27T12:55:00+00:00,2021-07-28T07:05:00+00:00,,,,
trend_pullback-cell4-2792,trend_pullback,4,XAUUSD,pepperstone,best_case,2021-11-29T20:20:00+00:00,2021-11-29T20:45:00+00:00,SHORT,1782.925,1784.9107424558683,1780.2838863161974,1784.9107424558683,-25.81465192628889,-0.9419505215925944,market_next_bar_open,2021-11-29T16:20:00+00:00,2021-11-29T21:45:00+00:00,,,,
trend_pullback-cell5-330,trend_pullback,5,XAUUSD,pepperstone,median,2019-05-14T10:50:00+00:00,2019-05-14T14:10:00+00:00,LONG,1298.405,1296.7773927778765,1300.758910833185,1296.7773927778765,-48.82821666370546,-0.9713278750708704,market_next_bar_open,2019-05-14T06:50:00+00:00,2019-05-14T15:10:00+00:00,,,,
trend_pullback-cell5-445,trend_pullback,5,XAUUSD,pepperstone,median,2019-06-28T08:45:00+00:00,2019-06-28T09:35:00+00:00,LONG,1416.385,1414.6157934648345,1418.951309802748,1414.6157934648345,-53.07619605496484,-0.982925017501908,market_next_bar_open,2019-06-28T04:45:00+00:00,2019-06-28T10:35:00+00:00,,,,
