specialist_id,direction,excursion_episode_id,UTC_date,chronological_segment,candidate_bar_time,residual_z_previous,residual_z_current,r_xau,predicted_r_xau,residual,beta_xag,beta_eurusd,beta_usdjpy,condition_number,H1_ATR14,H1_ATR_percentile,current_spread,current_spread_percentile,prior_spread_P99,UTC_time_of_day,unsafe_filter_passed,signal_accepted_pre_execution,signal_accepted,rejection_reason,entry_time,entry_bid,entry_ask,entry_price,entry_spread,entry_delay_milliseconds,M5_ATR14,stop,target,initial_risk_price
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-01-31-01425,2023-01-31,DEVELOPMENT,2023-01-31T12:40:00.000Z,-0.89009514139,4.01613702313,0.00176744749972,0.000685708479442,0.00108173902028,0.251329173225,0.248527514528,-0.187294186594,3964.94059643,4.34975308797,26.2,0.387,71.6583409863,0.524,12:45:00,true,true,true,,2023-01-31T12:45:00.055Z,1905.355,1905.742,1905.355,0.387,55,1.5385127546,1907.27814094,1902.47028859,1.92314094325
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-01-31-01377,2023-01-31,DEVELOPMENT,2023-01-31T12:50:00.000Z,4.64314984682,-3.78030071917,-0.00161063562419,-0.000517271952781,-0.00109336367141,0.253662323205,0.245111795827,-0.187643427194,3963.11541202,4.34975308797,26.2,0.337,38.5043792589,0.524,12:55:00,true,true,true,,2023-01-31T12:55:00.082Z,1906.558,1906.895,1906.895,0.337,82,2.06435283432,1904.31455896,1910.76566156,2.5804410429
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-01-31-01378,2023-01-31,DEVELOPMENT,2023-01-31T13:15:00.000Z,-1.98642306342,-3.26031597098,-0.000691756310318,0.000259053635607,-0.000950809945924,0.25367149906,0.247993209562,-0.187184022677,3962.81981326,4.89059215312,60.4,0.327,31.2600717349,0.524,13:20:00,true,true,true,,2023-01-31T13:20:00.053Z,1907.368,1907.695,1907.695,0.327,53,2.03507313343,1905.15115858,1911.51076213,2.54384141679
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-01-31-01426,2023-01-31,DEVELOPMENT,2023-01-31T13:20:00.000Z,-3.26031597098,4.25952230641,0.00145030378464,0.000237140423599,0.00121316336104,0.253701737071,0.246660514129,-0.187262285473,3962.1183204,4.89059215312,60.4,0.33,33.9363028735,0.524,13:25:00,true,true,true,,2023-01-31T13:25:00.053Z,1910.095,1910.425,1910.095,0.33,53,2.18067505247,1912.82084382,1906.00623428,2.72584381559
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-01-31-01427,2023-01-31,DEVELOPMENT,2023-01-31T13:45:00.000Z,-1.03957463849,3.94974282891,0.00222141972404,0.00105839434363,0.00116302538041,0.253655891636,0.246500724587,-0.187961543975,3948.87276982,4.89059215312,60.4,0.32,27.0886223956,0.524,13:50:00,true,true,true,,2023-01-31T13:50:00.013Z,1917.465,1917.785,1917.465,0.32,13,2.63661198786,1920.76076498,1912.52135252,3.29576498482
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-01-31-01428,2023-01-31,DEVELOPMENT,2023-01-31T13:55:00.000Z,-1.48865224831,3.53849363855,0.00162655490423,0.000566478429047,0.00106007647519,0.254535760457,0.246625681054,-0.18809349123,3949.80499893,5.53447842789,86.2,0.486,97.8766000775,0.524,14:00:00,true,true,true,,2023-01-31T14:00:00.109Z,1919.477,1919.963,1919.477,0.486,109,2.66960931606,1922.81401165,1914.47148253,3.33701164508
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-01-31-01429,2023-01-31,DEVELOPMENT,2023-01-31T15:40:00.000Z,0.116972221105,2.50526884683,0.00079202767235,1.91068291036e-05,0.000772920843247,0.257055093396,0.244873127388,-0.18931967654,3938.50065361,5.70915854019,90.6,0.33,33.9498791973,0.524,15:45:00,true,true,true,,2023-01-31T15:45:00.043Z,1927.905,1928.235,1927.905,0.33,43,2.60370263259,1931.15962829,1923.02305756,3.25462829074
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-01-01379,2023-02-01,DEVELOPMENT,2023-02-01T14:45:00.000Z,-1.5228060983,-3.34103237249,-0.00111125353873,-0.000131609605111,-0.000979643933622,0.257729921706,0.251332254992,-0.18622313687,4128.77890239,3.89336802668,7,0.39,73.2658954033,0.524,14:50:00,true,true,true,,2023-02-01T14:50:00.129Z,1927.175,1927.565,1927.565,0.39,129,1.78003104053,1925.3399612,1930.9025582,2.22503880067
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-01-01430,2023-02-01,DEVELOPMENT,2023-02-01T17:15:00.000Z,-1.73721875889,4.34052521751,0.000823595711274,-0.00048744337446,0.00131103908573,0.259629084314,0.245561755809,-0.186945259951,4129.12125437,4.67833948783,45,0.327,31.2683058609,0.524,17:20:00,true,true,true,,2023-02-01T17:20:00.171Z,1923.285,1923.612,1923.285,0.327,171,1.90266194395,1925.66332743,1919.71750886,2.37832742994
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-01-01431,2023-02-01,DEVELOPMENT,2023-02-01T19:35:00.000Z,-0.884168199209,3.75951420635,0.00414525453394,0.00296798612215,0.00117726841179,0.258544000193,0.249032869908,-0.188920190272,4118.63913124,4.65288200737,42.4,,,0.524,19:40:00,false,false,false,OUTSIDE_ENTRY_WINDOW,,,,,,,2.71817542513,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-01-01432,2023-02-01,DEVELOPMENT,2023-02-01T20:25:00.000Z,1.6133496611,2.75661091179,0.00204055479301,0.00114924584866,0.000891308944348,0.259019431676,0.262801936071,-0.189151296719,4059.23966217,5.94196186398,94,,,0.524,20:30:00,false,false,false,OUTSIDE_ENTRY_WINDOW,,,,,,,3.34225093718,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-01-01433,2023-02-01,DEVELOPMENT,2023-02-01T20:40:00.000Z,-0.482665310729,2.90626637043,0.00131216125604,0.000354047168562,0.000958114087479,0.259578201901,0.264751927909,-0.189234762149,4058.01372341,5.94196186398,94,,,0.524,20:45:00,false,false,false,OUTSIDE_ENTRY_WINDOW,,,,,,,3.29119253243,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-01-01434,2023-02-01,DEVELOPMENT,2023-02-01T20:55:00.000Z,0.568558837851,3.02463782121,0.00176244767566,0.000754646141934,0.00100780153372,0.259670806244,0.263506926008,-0.190614390093,4057.37667064,6.53575030227,98.6,,,0.524,21:00:00,false,false,false,OUTSIDE_ENTRY_WINDOW,,,,,,,3.18222940734,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-01-01380,2023-02-01,DEVELOPMENT,2023-02-01T21:00:00.000Z,3.02463782121,-2.60774708968,-0.00128387163401,-0.000417049565134,-0.000866822068872,0.260397274211,0.262885948305,-0.19052882688,4057.50704524,6.53575030227,98.6,,,0.524,21:05:00,false,false,false,OUTSIDE_ENTRY_WINDOW,,,,,,,3.20824873539,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-02-01381,2023-02-02,DEVELOPMENT,2023-02-02T00:15:00.000Z,-1.54912759218,-2.56058772639,-0.000962587180779,-0.000101868934449,-0.00086071824633,0.261003405254,0.260444807996,-0.192152291115,4019.48932646,6.38202449532,97.6,,,0.524,00:20:00,false,false,false,OUTSIDE_ENTRY_WINDOW,,,,,,,1.65037872985,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-02-01435,2023-02-02,DEVELOPMENT,2023-02-02T07:10:00.000Z,1.75449579511,3.83038171864,0.00147790925759,0.000212705449372,0.00126520380822,0.260538015897,0.252994200669,-0.215965908268,4330.42143944,5.04627855491,66,0.318,25.8376357251,0.524,07:15:00,true,true,true,,2023-02-02T07:15:00.235Z,1959.465,1959.783,1959.465,0.318,235,1.33102265986,1961.12877832,1956.96933251,1.66377832482
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-02-01382,2023-02-02,DEVELOPMENT,2023-02-02T11:55:00.000Z,0.579434737719,-2.55944723059,-0.00026264953688,0.000497894223835,-0.000760543760715,0.260558272911,0.25981438394,-0.214658210775,4419.3914599,5.0929456625,68.8,0.35,48.7382586033,0.524,12:00:00,true,true,true,,2023-02-02T12:00:00.044Z,1954.675,1955.025,1955.025,0.35,44,1.1194182053,1953.62572724,1957.12390913,1.39927275663
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-02-01383,2023-02-02,DEVELOPMENT,2023-02-02T13:35:00.000Z,-0.822754343749,-2.9447564527,-0.00110657733126,-0.000235534783493,-0.000871042547766,0.257517623047,0.26084556875,-0.221820970069,4335.27263994,4.96534240089,62.4,0.36,55.7486935361,0.524,13:40:00,true,true,true,,2023-02-02T13:40:00.106Z,1950.685,1951.045,1951.045,0.36,106,1.74939908143,1948.85825115,1954.32512328,2.18674885179
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-02-01384,2023-02-02,DEVELOPMENT,2023-02-02T14:15:00.000Z,1.23743660603,-2.86015824808,2.82545011364e-05,0.000912402621587,-0.000884148120451,0.25639983167,0.26582649793,-0.222881862259,4275.29842568,5.42924651512,79.4,0.35,48.7504551479,0.524,14:20:00,true,true,true,,2023-02-02T14:20:00.024Z,1946.455,1946.805,1946.805,0.35,24,2.1921743321,1944.06478208,1950.91532687,2.74021791513
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-02-01385,2023-02-02,DEVELOPMENT,2023-02-02T14:45:00.000Z,-2.16838683418,-5.01018909222,-0.00202726573041,-0.000463106930428,-0.00156415879999,0.258092717129,0.262124569779,-0.224789108538,4230.01995459,5.42924651512,79.4,0.35,48.7562560895,0.524,14:50:00,true,true,true,,2023-02-02T14:50:00.074Z,1933.965,1934.315,1934.315,0.35,74,2.65629438444,1930.99463202,1939.29555197,3.32036798055
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-02-01436,2023-02-02,DEVELOPMENT,2023-02-02T15:05:00.000Z,0.0674752367327,3.59085850271,-0.00168971646204,-0.00287930798585,0.00118959152381,0.261525230345,0.259625023675,-0.229560361343,4213.4706446,6.89530033546,100,,,0.524,15:10:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,3.38956257586,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-03-01386,2023-02-03,DEVELOPMENT,2023-02-03T07:35:00.000Z,-0.037531569652,-2.58924704002,-0.000627957295489,0.000359777576654,-0.000987734872142,0.259798385075,0.257477768216,-0.231768196445,4252.90114058,4.87866788365,55.2,0.32,27.0934566406,0.524,07:40:00,true,true,true,,2023-02-03T07:40:01.456Z,1911.755,1912.075,1912.075,0.32,1456,1.33832319535,1910.40209601,1914.58435599,1.67290399418
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-03-01387,2023-02-03,DEVELOPMENT,2023-02-03T13:30:00.000Z,-0.579551354638,-8.84362374894,-0.00892776378671,-0.00567121536879,-0.00325654841792,0.260847948407,0.252309847703,-0.2316351271,4262.23414565,4.87832346227,55.2,0.428,88.2379375596,0.524,13:35:00,true,true,true,,2023-02-03T13:35:00.066Z,1896.615,1897.043,1897.043,0.428,66,2.63251145036,1893.75236069,1901.97895897,3.29063931295
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-03-01437,2023-02-03,DEVELOPMENT,2023-02-03T13:45:00.000Z,0.604088143339,3.48563214208,-0.00183732080695,-0.00319232567331,0.00135500486635,0.258992393536,0.289238506118,-0.261039073815,4231.80628965,4.87832346227,55.2,0.41,82.1795105756,0.524,13:50:00,true,true,true,,2023-02-03T13:50:00.011Z,1884.485,1884.895,1884.485,0.41,11,3.31434335147,1888.62792919,1878.27060622,4.14292918934
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-03-01388,2023-02-03,DEVELOPMENT,2023-02-03T14:15:00.000Z,1.64690293386,-3.79440936204,-0.00285578591365,-0.00129979301391,-0.00155599289974,0.256826633725,0.291742743329,-0.258465233137,4226.002931,6.95165750068,98.8,,,0.524,14:20:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,4.08814091778,,,
