simulation_id,specialist_id,direction,excursion_episode_id,UTC_date,chronological_segment,candidate_time,entry_time,entry_source_sequence,entry_bid,entry_ask,entry_price,entry_spread,stop,target,initial_risk_price,exit_time,exit_source_sequence,exit_timestamp_group_size,exit_ordering_quality,exit_bid,exit_ask,exit_price,exit_spread,exit_reason,residual_z_at_entry,residual_z_at_exit_signal,gross_R,baseline_net_R,stress_incremental_entry_spread_R,stress_incremental_exit_spread_R,stress_slippage_R,stress_net_R,broker_transfer_R,MFE_R,MAE_R,holding_minutes,stop_gap,target_gap,identical_timestamp_ambiguity,convergence_exit,expiry_exit,forced_exit,post_exit_invariance_contract,Capital_minimum_volume_loss,Capital_required_margin,Capital_post_entry_free_margin,Capital_account_feasible,Capital_rejection_reason
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-03-00048,2021-08-03,DEVELOPMENT,2021-08-03T14:00:00.000Z,2021-08-03T14:05:00.092Z,2021080314:0000001271,1812.368,1812.822,1812.822,0.454,1810.74546586,1815.93680122,2.07653414359,2021-08-03T14:10:00.156Z,2021080314:0000002504,1,SOURCE_SEQUENCE_ORDERED,1811.918,1812.332,1811.918,0.414,RESIDUAL_CONVERGENCE,-3.06381123827,1.74156304958,-0.226338681428,-0.435340783002,0,0.00626043161391,0.05,-0.491601214616,-0.585340783002,0,-0.830229546344,5.00106666667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-04-00048,2021-08-04,DEVELOPMENT,2021-08-04T09:55:00.000Z,2021-08-04T10:00:00.288Z,2021080410:0000000000,1814.818,1815.132,1814.818,0.314,1815.75565032,1813.41152453,0.937650315229,2021-08-04T10:05:02.653Z,2021080410:0000000381,1,SOURCE_SEQUENCE_ORDERED,1813.398,1813.725,1813.725,0.327,RESIDUAL_CONVERGENCE,2.65901496871,-1.70275886764,1.50749162779,1.16567976595,0.0671892271316,0.0602570052847,0.05,0.988233533534,1.01567976595,1.2083395927,-0.356209553365,5.03941666667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-04-00049,2021-08-04,DEVELOPMENT,2021-08-04T12:15:00.000Z,2021-08-04T12:20:00.035Z,2021080412:0000005384,1823.658,1824.022,1823.658,0.364,1825.4335087,1820.99473694,1.77550870388,2021-08-04T12:21:00.289Z,2021080412:0000005772,1,SOURCE_SEQUENCE_ORDERED,1825.108,1825.462,1825.462,0.354,STOP,4.03370119802,,-0.813851262369,-1.01604683551,0.0214023169343,0.0242184112677,0.05,-1.11166756371,-1.16604683551,0,-1.01604683551,1.00423333333,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-04-00049,2021-08-04,DEVELOPMENT,2021-08-04T12:25:00.000Z,2021-08-04T12:30:00.000Z,2021080412:0000008856,1824.056,1824.482,1824.482,0.426,1822.51945678,1827.42581483,1.96254321916,2021-08-04T12:40:00.176Z,2021080412:0000011195,1,SOURCE_SEQUENCE_ORDERED,1824.208,1824.585,1824.208,0.377,RESIDUAL_CONVERGENCE,-3.27818868432,1.30401546606,0.0649667221364,-0.139614759728,0.00356680043104,0.0160506019396,0.05,-0.209232162099,-0.289614759728,0.359737300614,-0.786734266499,10.0029333333,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-04-00050,2021-08-04,DEVELOPMENT,2021-08-04T12:55:00.000Z,2021-08-04T13:00:00.106Z,2021080413:0000000000,1827.058,1827.422,1827.422,0.364,1825.38716748,1830.47424878,2.03483251965,2021-08-04T13:08:49.461Z,2021080413:0000002893,1,SOURCE_SEQUENCE_ORDERED,1830.508,1830.785,1830.47424878,0.277,TARGET,-2.60317350451,,1.65750682029,1.5,0.0186747556043,0.0400524363618,0.05,1.39127280803,1.35,1.51658673144,-0.498321110072,8.82258333333,false,true,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-04-00050,2021-08-04,DEVELOPMENT,2021-08-04T14:00:00.000Z,2021-08-04T14:05:00.065Z,2021080414:0000003318,1824.438,1824.752,1824.438,0.314,1827.08722299,1820.46416552,2.6492229894,2021-08-04T14:09:45.198Z,2021080414:0000006007,1,SOURCE_SEQUENCE_ORDERED,1819.946,1820.322,1820.46416552,0.376,TARGET,3.10843257748,,1.63022686327,1.5,0.0237805576398,0.0120790134043,0.05,1.41414042896,1.35,1.55366309913,-0.164954026803,4.75221666667,false,true,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-04-00051,2021-08-04,DEVELOPMENT,2021-08-04T14:15:00.000Z,2021-08-04T14:20:00.109Z,2021080414:0000011529,1814.378,1814.652,1814.652,0.274,1811.48990141,1819.39514789,3.16209859064,2021-08-04T14:21:01.411Z,2021080414:0000012175,1,SOURCE_SEQUENCE_ORDERED,1811.333,1811.709,1811.333,0.376,STOP,-3.76071204369,,-0.946839547907,-1.04961939195,0.0262483909406,0.0101198615675,0.05,-1.13598764446,-1.19961939195,0,-1.04961939195,1.0217,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-04-00051,2021-08-04,DEVELOPMENT,2021-08-04T14:30:00.000Z,2021-08-04T14:35:00.071Z,2021080414:0000018630,1812.618,1812.952,1812.618,0.334,1815.94956181,1807.62065729,3.33156180891,2021-08-04T14:40:00.132Z,2021080414:0000020143,1,SOURCE_SEQUENCE_ORDERED,1812.048,1812.442,1812.442,0.394,RESIDUAL_CONVERGENCE,4.58328622663,-1.17487266558,0.162086141868,0.052828075868,0.0159084546648,0.00690366900549,0.05,-0.0199840478022,-0.097171924132,0.250933360373,-0.169289970395,5.00101666667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-05-00052,2021-08-05,DEVELOPMENT,2021-08-05T10:15:00.000Z,2021-08-05T10:20:01.690Z,2021080510:0000002284,1812.158,1812.582,1812.158,0.424,1813.32099566,1810.41350651,1.16299565771,2021-08-05T10:25:00.491Z,2021080510:0000002775,1,SOURCE_SEQUENCE_ORDERED,1811.678,1812.082,1812.082,0.404,RESIDUAL_CONVERGENCE,2.80060161182,-0.34044687834,0.421325734755,0.0653484813088,0.00687878750612,0.015477271889,0.05,-0.00700757808631,-0.0846515186912,0.125537871988,-0.433363612891,4.98001666667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-05-00053,2021-08-05,DEVELOPMENT,2021-08-05T12:25:00.000Z,2021-08-05T12:30:00.126Z,2021080512:0000004360,1810.165,1810.592,1810.165,0.427,1811.53478601,1808.11032098,1.36978601197,2021-08-05T12:33:09.416Z,2021080512:0000005437,1,SOURCE_SEQUENCE_ORDERED,1811.178,1811.612,1811.612,0.434,STOP,2.82268236273,,-0.742086713628,-1.05636937985,0.00474526673737,0.00219012310959,0.05,-1.1133047697,-1.20636937985,1.05052905156,-1.05636937985,3.15483333333,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-05-00053,2021-08-05,DEVELOPMENT,2021-08-05T12:55:00.000Z,2021-08-05T13:00:00.085Z,2021080513:0000000000,1809.108,1809.432,1809.432,0.324,1807.69553978,1812.03669033,1.73646022304,2021-08-05T13:05:00.332Z,2021080513:0000001603,1,SOURCE_SEQUENCE_ORDERED,1809.748,1810.132,1809.748,0.384,RESIDUAL_CONVERGENCE,-4.20795299676,2.13828151764,0.38584241154,0.18197940604,0.033401283387,0.0161247574972,0.05,0.0824533651556,0.0319794060398,0.510233397947,-0.718127592822,5.00411666667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-05-00054,2021-08-05,DEVELOPMENT,2021-08-05T13:20:00.000Z,2021-08-05T13:25:00.137Z,2021080513:0000005376,1809.508,1809.782,1809.782,0.274,1807.99053525,1812.46919712,1.79146474956,2021-08-05T13:30:00.078Z,2021080513:0000006132,1,SOURCE_SEQUENCE_ORDERED,1809.968,1810.342,1809.968,0.374,RESIDUAL_CONVERGENCE,-2.70936334328,1.63243167209,0.284683246001,0.103825654424,0.0463308027805,0.0184206806236,0.05,-0.0109258289803,-0.0461743455762,0.181973996463,-0.487868935303,4.99901666667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-05-00055,2021-08-05,DEVELOPMENT,2021-08-05T13:40:00.000Z,2021-08-05T13:45:00.091Z,2021080513:0000011974,1800.758,1800.976,1800.976,0.218,1798.49993522,1804.69009717,2.47606478322,2021-08-05T13:49:07.458Z,2021080513:0000013987,1,SOURCE_SEQUENCE_ORDERED,1798.418,1798.892,1798.418,0.474,STOP,-6.12492694795,,-0.893353039464,-1.03309090188,0.044829198635,0,0.05,-1.12792010051,-1.18309090188,0.174470394687,-1.03309090188,4.12278333333,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-05-00054,2021-08-05,DEVELOPMENT,2021-08-05T13:50:00.000Z,2021-08-05T13:55:00.119Z,2021080513:0000016348,1801.078,1801.322,1801.078,0.244,1803.84440918,1796.92838624,2.76640917533,2021-08-05T13:59:29.839Z,2021080513:0000017724,1,SOURCE_SEQUENCE_ORDERED,1803.548,1803.852,1803.852,0.304,STOP,3.36418032586,,-0.903698564297,-1.00274392694,0.0354249837204,0.0245806009489,0.05,-1.11274951161,-1.15274392694,0.0672351731836,-1.00274392694,4.49533333333,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-05-00056,2021-08-05,DEVELOPMENT,2021-08-05T14:15:00.000Z,2021-08-05T14:20:00.035Z,2021080514:0000006477,1803.868,1804.125,1804.125,0.257,1801.18674035,1808.53238947,2.93825964802,2021-08-05T14:30:00.108Z,2021080514:0000008750,1,SOURCE_SEQUENCE_ORDERED,1803.648,1804.012,1803.648,0.364,RESIDUAL_CONVERGENCE,-2.64654634571,2.18678983217,-0.0566661969824,-0.16234099676,0.0311408830264,0.0129328257377,0.05,-0.256414705525,-0.31234099676,0.29030790406,-0.537733280674,10.0012166667,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-05-00057,2021-08-05,DEVELOPMENT,2021-08-05T14:30:00.000Z,2021-08-05T14:35:00.107Z,2021080514:0000010104,1801.048,1801.292,1801.292,0.244,1798.29779507,1805.78330739,2.99420492773,2021-08-05T14:40:00.116Z,2021080514:0000011148,1,SOURCE_SEQUENCE_ORDERED,1802.368,1802.742,1802.368,0.374,RESIDUAL_CONVERGENCE,-3.55603973424,1.77151831797,0.46256018991,0.359360840681,0.032729890694,0.0110212897235,0.05,0.265609660263,0.209360840681,0.436175890269,-0.114888595905,5.00015,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2021-08-06-00055,2021-08-06,DEVELOPMENT,2021-08-06T08:05:00.000Z,2021-08-06T08:10:00.123Z,2021080608:0000000955,1799.675,1800.092,1799.675,0.417,1800.86904881,1797.88392679,1.19404880572,2021-08-06T08:18:02.034Z,2021080608:0000001526,1,SOURCE_SEQUENCE_ORDERED,1800.488,1800.872,1800.872,0.384,STOP,2.9826163925,,-0.667058160589,-1.00247158597,0.00963109710825,0.023449627742,0.05,-1.08555231082,-1.15247158597,0,-1.00247158597,8.03185,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-06-00058,2021-08-06,DEVELOPMENT,2021-08-06T10:10:00.000Z,2021-08-06T10:15:00.364Z,2021080610:0000001433,1797.778,1798.212,1798.212,0.434,1797.24177918,1799.66733122,0.9702208154,2021-08-06T10:18:31.035Z,2021080610:0000001783,1,SOURCE_SEQUENCE_ORDERED,1797.238,1797.662,1797.238,0.424,STOP,-2.66747877961,,-0.561727795724,-1.00389517988,0.00309207960951,0.00824554562532,0.05,-1.06523280512,-1.15389517988,0.088639615472,-1.00389517988,3.51118333333,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-06-00059,2021-08-06,DEVELOPMENT,2021-08-06T10:50:00.000Z,2021-08-06T10:55:00.296Z,2021080610:0000004741,1795.208,1795.592,1795.592,0.384,1794.49974762,1797.23037857,1.09225238242,2021-08-06T11:00:00.094Z,2021080611:0000000000,1,SOURCE_SEQUENCE_ORDERED,1794.888,1795.292,1794.888,0.404,RESIDUAL_CONVERGENCE,-4.2538702078,1.01898270395,-0.283817188215,-0.644539679043,0.025635100871,0.0164797077028,0.05,-0.736654487617,-0.794539679043,0.0970471675832,-0.891735294585,4.99663333333,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-06-00060,2021-08-06,DEVELOPMENT,2021-08-06T12:20:00.000Z,2021-08-06T12:25:00.087Z,2021080612:0000004279,1797.338,1797.643,1797.643,0.305,1796.13743957,1799.90134065,1.50556043139,2021-08-06T12:27:07.864Z,2021080612:0000004709,1,SOURCE_SEQUENCE_ORDERED,1800.888,1801.669,1799.90134065,0.781,TARGET,-5.94036369323,,1.86066303861,1.5,0.0448338031423,0,0.05,1.40516619686,1.35,2.15534357329,-0.536677228726,2.12961666667,false,true,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-06-00061,2021-08-06,DEVELOPMENT,2021-08-06T12:30:00.000Z,2021-08-06T12:35:00.015Z,2021080612:0000009394,1790.108,1790.505,1790.505,0.397,1787.81249828,1794.54375259,2.69250172401,2021-08-06T12:40:00.072Z,2021080612:0000012496,1,SOURCE_SEQUENCE_ORDERED,1790.098,1790.542,1790.098,0.444,RESIDUAL_CONVERGENCE,-8.58349017915,0.228261385019,0.00501392436615,-0.151160534595,0.00798513880538,0,0.05,-0.209145673401,-0.301160534595,1.12274765622,-0.529990375596,5.00095,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-06-00062,2021-08-06,DEVELOPMENT,2021-08-06T12:40:00.000Z,2021-08-06T12:45:00.055Z,2021080612:0000015998,1779.898,1780.393,1780.393,0.495,1776.65314839,1786.00277742,3.73985161407,2021-08-06T12:49:49.906Z,2021080612:0000018907,1,SOURCE_SEQUENCE_ORDERED,1776.468,1776.772,1776.468,0.304,STOP,-12.9303817027,,-0.94268446019,-1.04950688023,0,0.0181825395811,0.05,-1.11768941981,-1.19950688023,0,-1.04950688023,4.83085,true,false,false,false,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2021-08-06-00063,2021-08-06,DEVELOPMENT,2021-08-06T13:00:00.000Z,2021-08-06T13:05:00.047Z,2021080613:0000003112,1772,1772.272,1772.272,0.272,1768.16844559,1778.42733162,4.10355441286,2021-08-06T13:10:00.100Z,2021080613:0000005437,1,SOURCE_SEQUENCE_ORDERED,1773.118,1773.572,1773.118,0.454,RESIDUAL_CONVERGENCE,-4.26791951664,3.52793559976,0.294622631593,0.206162734762,0.0204700587707,0,0.05,0.135692675991,0.0561627347621,0.452290822362,-0.35749495496,5.00088333333,false,false,false,true,false,false,true,,,,,NOT_APPLICABLE_NO_FINAL_ADMISSION
