specialist_id,month,trades,wins,losses,net_R,expectancy_R,profit_factor,maximum_closed_drawdown_R,top_ten_winners_fraction,top_three_winning_days_fraction,active_months,annualized_trades,median_monthly_trades
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-03,52,21,31,-3.13982912053,-0.0603813292409,0.850392060549,8.99469624818,0.705102539097,0.503606799882,1,17.3333333333,52
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-04,58,27,31,-3.90038380343,-0.0672479966108,0.772580459883,5.19680241187,0.688010441839,0.289654105086,1,19.3333333333,58
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-05,63,33,30,-3.39534272111,-0.0538943289066,0.848081894473,4.50189521256,0.585511182108,0.276957247177,1,21,63
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-06,61,27,34,-10.005583273,-0.164025955295,0.605440114032,11.5145244628,0.665489375179,0.467312572643,1,20.3333333333,61
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-07,59,22,36,-13.1823365883,-0.223429433699,0.443332199305,13.8066917299,0.781555340308,0.310836948166,1,19.6666666667,59
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-08,71,28,43,-13.0657753747,-0.184025005277,0.550553746746,16.1577500103,0.634644209398,0.283003138129,1,23.6666666667,71
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-09,61,31,30,-8.16468901477,-0.133847360898,0.655354121429,12.3773220064,0.638815154852,0.181081351469,1,20.3333333333,61
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-10,44,16,28,-16.4467276913,-0.373789265711,0.250572425126,16.4467276913,0.844179975151,0.522459903221,1,14.6666666667,44
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-11,47,19,27,-10.07877967,-0.214442120638,0.448446151441,10.6323029332,0.855704828273,0.455771583872,1,15.6666666667,47
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2023-12,46,19,27,-6.53895558939,-0.142151208465,0.629379066201,8.006143805,0.849347719884,0.31982668373,1,15.3333333333,46
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2024-01,67,28,39,-13.2836226889,-0.198263025208,0.483907812895,13.9255703976,0.599528159938,0.32246668117,1,22.3333333333,67
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2024-02,58,23,35,-12.7959700196,-0.220620172751,0.478640648933,16.0800992052,0.767590225906,0.349128601344,1,19.3333333333,58
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2024-03,43,16,26,-11.0816911984,-0.257713748801,0.402822077456,12.3525973765,0.923444201744,0.157680232741,1,14.3333333333,43
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2024-04,29,13,16,-3.59635548217,-0.124012258006,0.678817541813,4.82912025215,0.927111553595,0.506410320688,1,9.66666666667,29
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2024-05,55,29,26,-5.87592594233,-0.106835017133,0.709761926591,7.02795306891,0.721864268254,0.319650605646,1,18.3333333333,55
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,2024-06,50,20,30,-9.11428045799,-0.18228560916,0.5568097596,11.5663484889,0.744504025841,0.274299405062,1,16.6666666667,50
