record_type,instrument,month,basis,timeframe,item_count,first_utc,last_utc,logical_path,bytes,sha256,contract_sha256
BARS,EURUSD,2023-02,Ask,H1,480,2023-02-01T00:00:00.000Z,2023-02-28T23:00:00.000Z,bars/EURUSD/ask/H1/year=2023/month=02/bars.parquet,21145,222fbc435a0d791278f77e1bbcbf2af62230cf49654865e200c0acecd7a1c830,
BARS,EURUSD,2023-02,Mid,M5,5757,2023-02-01T00:00:00.000Z,2023-02-28T23:55:00.000Z,bars/EURUSD/mid/M5/year=2023/month=02/bars.parquet,165100,0ac29f207bd3836f8e855532943c7d71549cd3ff5dd74e0acaca5db1633d156b,
BARS,EURUSD,2023-02,Mid,H1,480,2023-02-01T00:00:00.000Z,2023-02-28T23:00:00.000Z,bars/EURUSD/mid/H1/year=2023/month=02/bars.parquet,21769,640c9b20c5fd5706773669f07c25e138a766eeb99a521bb9ea8258186057cf41,
TICKS,EURUSD,2023-03,Bid/Ask,TICK,3382087,2023-03-01T00:00:00.329Z,2023-03-31T20:59:56.463Z,normalized/EURUSD/year=2023/month=03/ticks.parquet,36576110,6cfc9a5b5737ffff3bb0a84b1e22ba774560ecc5702b36962bab8daf15766ace,5a14db495c122256599d0fbe4aa1e0af8628848fa7b21ba2c1d3cd87255c4e65
BARS,EURUSD,2023-03,Bid,M5,6596,2023-03-01T00:00:00.000Z,2023-03-31T20:55:00.000Z,bars/EURUSD/bid/M5/year=2023/month=03/bars.parquet,170837,3394a3bda071ff5b4d84b134207261cca3a54dead88375a18f0edd65a514585f,
BARS,EURUSD,2023-03,Bid,H1,550,2023-03-01T00:00:00.000Z,2023-03-31T20:00:00.000Z,bars/EURUSD/bid/H1/year=2023/month=03/bars.parquet,23919,1eefb1ba5c8ad3372174995cf3ac3139902537c21214f3cb09db17c0f98ee23a,
BARS,EURUSD,2023-03,Ask,M5,6596,2023-03-01T00:00:00.000Z,2023-03-31T20:55:00.000Z,bars/EURUSD/ask/M5/year=2023/month=03/bars.parquet,170865,f5c37516bc16b0592278813d215586b22c081585b7ca54da6ff89869d0568485,
BARS,EURUSD,2023-03,Ask,H1,550,2023-03-01T00:00:00.000Z,2023-03-31T20:00:00.000Z,bars/EURUSD/ask/H1/year=2023/month=03/bars.parquet,23825,45022329161544e8bf9a28d99a2cc943f8d7c182fb94c9c6d3c05990fe89f2e7,
BARS,EURUSD,2023-03,Mid,M5,6596,2023-03-01T00:00:00.000Z,2023-03-31T20:55:00.000Z,bars/EURUSD/mid/M5/year=2023/month=03/bars.parquet,187837,60a0948e80620b692ecc02cd026b90869c05c86b3f7989300e26a76b037c9959,
BARS,EURUSD,2023-03,Mid,H1,550,2023-03-01T00:00:00.000Z,2023-03-31T20:00:00.000Z,bars/EURUSD/mid/H1/year=2023/month=03/bars.parquet,24471,bc5064802487126522f2c5e90d3a1a9c9941b4a389552521aed3dec8f0b96d0a,
TICKS,EURUSD,2023-04,Bid/Ask,TICK,1881792,2023-04-02T21:00:00.164Z,2023-04-30T23:59:57.986Z,normalized/EURUSD/year=2023/month=04/ticks.parquet,20745781,446a8c2ad53cbbc07277491b19fbd01a12e638cb8ff2faf3b51dd152edfb4063,6abede737e9ad07eda3ed63b975d9af05c37d6a9314ed088f6a12d4590b7fb6e
BARS,EURUSD,2023-04,Bid,M5,5792,2023-04-02T21:00:00.000Z,2023-04-30T23:55:00.000Z,bars/EURUSD/bid/M5/year=2023/month=04/bars.parquet,141890,cccd780d3ceffbe6747115346d7df126097321ddbaf547ce0ccfdd55c21d962e,
