instrument,official_identifier,year,month,official_source_origin,expected_hour_files,observed_hour_files,total_raw_bytes,hour_file_hash_map_SHA256,frozen_manifest_SHA256,acquisition_manifest_SHA256,first_source_timestamp,last_source_timestamp,total_tick_count,retry_count,freeze_status,hash_validation_status,reused_without_download
XAUUSD,XAU-USD,2022,6,https://jetta.dukascopy.com/v1,720,720,89879885,65561422c865abb853dda069bdbf96f7ab17774245478e1f6675e94500c64d35,8567643f31f8bbf567f66e883f256010ed2d1fbca1a8541cf25be377d6853e57,4935f2efce9ee72d09c0f2be1640d9ce0628ae0d70866b6b51713738f097f78a,2022-06-01T00:00:00.036Z,2022-06-30T23:59:57.544Z,4139077,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,7,https://jetta.dukascopy.com/v1,744,744,95141291,89036a2d5ad8471aca001ef34ee6d3e319f77ef68c4032e7f6b2e508c4ebf9fc,6c1f0d001b95b138f61c51c16bf2cee653d94c2334de879b1af8dd658b21f338,a9529b26f4e3b4e70f5c6f0fa40501eabfb3fc11bf3f02e4b9d1bd074d6b09f0,2022-07-01T00:00:00.177Z,2022-07-31T23:59:59.733Z,4398091,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,8,https://jetta.dukascopy.com/v1,744,744,93095226,ba4cb94b657b67c41797d668e9599f54bbcb0f459df38cd27a5a3cb6388977f0,3e0b10e097d29475f1f0bfd5b70791f94bd68e99758f81a9569cda482c47fa3d,063f36a55db295309f4791ca32305c17e745844da1c61290393f532a97be9231,2022-08-01T00:00:00.143Z,2022-08-31T23:59:59.120Z,4288324,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,9,https://jetta.dukascopy.com/v1,720,720,108973182,74661ac0f7d1b4e738f87de0c230aea7fecb0a27441a402b5da4f34452f93466,f992bf62f57b52779c9526e9709d9ceea51c7dac882234d67f92e2a6c19bb42d,94bba42631847e29e7f7092408be23089253a22a54f77bcdd10f1fdef5b3619e,2022-09-01T00:00:00.109Z,2022-09-30T20:59:58.578Z,5029466,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,10,https://jetta.dukascopy.com/v1,744,744,97927375,1e2f9bacc39ef7b7d986a87355f60185dbed090035134a41f27c9f7695077f4a,501a3191eea56c08ce59425bc34f6bffd51371c81b5278b2740bad160fe69088,cd1b4e6ac3a529931302e07ac3410c5ac23cbc39443efa2b6bf27235ef7a51c4,2022-10-02T22:00:00.084Z,2022-10-31T23:59:57.128Z,4499772,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,11,https://jetta.dukascopy.com/v1,720,720,80638560,63d4dd0a39feb4ba56f829d4b150b9e017d2e8c5b3c28efb253189af3be0cee2,52feb3bebccc78fe14207e6b08dbb85366a1c79dd846d2c5bec2a954dc0a454e,7a3dadab6cd68fc463b0fc3f7a0f2826fc0699b4d7c0d9f1a8d614d294d9a5c3,2022-11-01T00:00:00.059Z,2022-11-30T23:59:59.136Z,3642770,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2022,12,https://jetta.dukascopy.com/v1,744,744,75054681,16bbbaedf1fbe76dc99c62bacaaa133b896b9ab0f02ba7e9f24e04cc772e3564,0a8947a427c1002846e45473f691fc074fc5c0fa25b5b47084a11a19debc2ead,998c1ce187a57cd3811e6b3f9133f58ac39fb0ff3e60baa1beeb245bd3018f13,2022-12-01T00:00:00.116Z,2022-12-30T21:58:48.239Z,3391139,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,1,https://jetta.dukascopy.com/v1,744,744,80102210,d3bda25b3443034967e53e23ec308c4091be946f5a548308ff872de5c22b0169,8ef6ef75d3ae6818cfebb6e8aab8cfcea553e4fb4508cf1299403f8653ea598a,ff64b2f604c4052297f3197bd8b2fabe9f40a39036237fb71bb1616ac2d76a8b,2023-01-02T23:00:04.270Z,2023-01-31T23:59:51.825Z,3610063,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,2,https://jetta.dukascopy.com/v1,672,672,71938968,eaa54cd4cd37e13595fcdf5b62f5dfcfdfb7e23ee3a4636c4d3b6a2360774ecc,87e33c95da033ebf9f153e0e75539c30cbec22782a7d01575017b5a2eaa40d12,f3961d8ea00403cc3acc2e1af31d57449f936995da0d581e46e3accc4a015d9a,2023-02-01T00:00:00.179Z,2023-02-28T23:59:57.442Z,3236027,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,3,https://jetta.dukascopy.com/v1,744,744,99161087,ea0aeebee7077c8efde9973237f7f2f14f79f1912c0624d3f230f322a5e59e5e,6838439d2692dd69f72c066beb57c26a62fc9e437d1faf26572b05428b07120b,e93199b80ca556e74aa1c3d8d8de7967b4eb1b6cf47139c643a176571ee5de61,2023-03-01T00:00:00.355Z,2023-03-31T20:59:54.205Z,4465226,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,4,https://jetta.dukascopy.com/v1,720,720,65654759,66e19178aa45fe5ba72cff908396373f92a196c45a1c5228de433d876a0277a8,9f39098f54cb66dbe790ce856e64ea9537800c5e015a34dfa3b13aac330f3686,2f49b916bdd8e84f33812a0dba057c80317cda76359706cdd9e8d248fc09d941,2023-04-02T22:00:01.103Z,2023-04-30T23:59:57.738Z,2957588,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,5,https://jetta.dukascopy.com/v1,744,744,86643246,af9e115354a1c8d425d44383884dce18dafee9d22ab46050ebae50d52e5897bc,cba5a30f6755970d8a21336ed80ffd65ca16b70f021b94282cdd9800f28fe184,6926d3e47fd257d01108db5aa4abc27f772ac8c0d439bb68275c71a692573e2e,2023-05-01T00:00:00.119Z,2023-05-31T23:59:59.917Z,3933656,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,6,https://jetta.dukascopy.com/v1,720,720,68605888,ec452586086ecba973bfac29fb05565a9bc51a6c7947a1a27d1c56a71cc3fd93,eed8dfa765bad9f229dcdca6539f7a5102d54545eab2c59fb7e578cff6dc49dc,18cd3de0c021cef9fde3a086f62f672459193701947ca8e34e65f58774c89cdb,2023-06-01T00:00:00.114Z,2023-06-30T20:59:58.147Z,3091988,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,7,https://jetta.dukascopy.com/v1,744,744,61186601,df8a02b5db84106231de98c9edecc5b4fc8c6f4b65a7f20bfcf1cc13fe24362c,011cfe157a94f67f67b054fc23d0d5bd269e304836f9ae823853fe0c5afa59d8,465b82c45ade128bd446621051d13a2e2872060d99549f3199889fa5f30b3bce,2023-07-02T22:00:00.401Z,2023-07-31T23:59:51.747Z,2760503,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,8,https://jetta.dukascopy.com/v1,744,744,52904450,df7e0cbac1ead6aeee330c707a95241806ad5b624f022f6c2d632ab144eced3f,a7a137b0dd841305e2489c842a2ae53d4c5b5e7c87e3e693aeb02298964be3bc,514eaf54876cecf7a9e02aebb2daa89323453afd39f949931eb0bd142479971a,2023-08-01T00:00:00.080Z,2023-08-31T23:59:56.082Z,2373606,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,9,https://jetta.dukascopy.com/v1,720,720,42381840,3ccb8df074e5b4c042e6acd975cfaef814cb36175305e67ba6c9fe6b44af8058,008e5d48e73d3a88cf318c976cb99e85f78f49db21b7758c1d462aa366d01271,8005b64836bd111b42535dc0e1c6c7d119a3686ea32d9d519865d5f053b8c098,2023-09-01T00:00:00.073Z,2023-09-29T20:59:58.184Z,1901380,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,10,https://jetta.dukascopy.com/v1,744,744,63371119,5f7fe9fe83856ad0785c74accaf5e641c93006c38abeed7ded3e2f1b08e5669e,0d9b626d30add555008f2458b25133bc28a8a5ced388eab5d5e3c00151510f80,933087c5e0717e9393604e9bfbe618facaaea5717fd02b62c3144e79e71f32da,2023-10-01T22:00:00.238Z,2023-10-31T23:59:55.526Z,2841307,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,11,https://jetta.dukascopy.com/v1,720,720,55719549,214484b99448aa0ddbece7e6898ff98339666e65455ad5b99d77b91baf8178ac,935ebba358a4851f3023ffbaddef16507ae9ec03d3c340d21b827bdb0addd3dd,fd951ceb8a70d056c2717ee57db78594306d4c8aaf83f009c0d0d17f6604002b,2023-11-01T00:00:00.050Z,2023-11-30T23:59:57.349Z,2491773,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2023,12,https://jetta.dukascopy.com/v1,744,744,61727787,20b38c18142c4e34daec55b2a04252d9783845874554275f4f5f13781bb177af,2cf8f23329735ad963cb26e299844787c337ff4cc9b087a875af673e4cb8cd8c,1e438810c9e72cff146bbfe3f8b3675d70499c5d9c6e5ad38851aecda99172c2,2023-12-01T00:00:00.210Z,2023-12-29T21:58:59.074Z,2765712,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2024,1,https://jetta.dukascopy.com/v1,744,744,68107260,06d6dab345a87c62dee9d41d28d71d4829c72b66419916883a80a8beb1645c9e,7cbfef4521c214ba800a692570c158dd05c0965918d594735da5a8de464c1918,46b9f26ce883a6e9e5e23d498c0134185d0bf657fa9ab4570eb1f25cb4e81da2,2024-01-01T23:00:00.312Z,2024-01-31T23:59:58.924Z,3059497,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2024,2,https://jetta.dukascopy.com/v1,696,696,47390730,50e3340d209f1425ba840c44c1d2f242472aae47e0661747daac8c950f7ddc3e,5fa5f37c79341c035936f6a984de90d94fd6a6afd01cc783d16327647675422d,b26df697c541833f1e24ab00fd716b8041f024c4b0052d02c1855d5f01a8573e,2024-02-01T00:00:00.080Z,2024-02-29T23:59:59.997Z,2126396,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2024,3,https://jetta.dukascopy.com/v1,744,744,60973207,fb55ec73e2a6692165d93e3662f5e98862c36da7a8b224c6401ee3d23049518c,9f49d60c5344b635636ef480e8a9894d1fd0351d8831206d0972dc4b3da18475,b1d93047b958f9ad04ab8570e538b91ccf3d095dadedc5067c7160d0d42a07b0,2024-03-01T00:00:00.098Z,2024-03-31T23:59:59.620Z,2733576,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2024,4,https://jetta.dukascopy.com/v1,720,720,115741873,39bf59f415e483efa3fbcec6fcfd3f7590ccbc3d079cc2cf26cc807717fe7ffe,ff75ed4f0fc13e12dd0112ca41f08d9fe76c12da1ce1335c673de0f0b5c67ae3,d73effb99dd1ee97dc72c60b90adb205431dad7f1de7f23b4a96c1f36bbb8f94,2024-04-01T00:00:00.072Z,2024-04-30T23:59:58.592Z,5252627,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2024,5,https://jetta.dukascopy.com/v1,744,744,111198348,b3614b00d49bb8ad116b2bb2a61e94ae5c9bd53c1d7affd68ff1eeb9a2d06fe0,f6dbca87902214553147656ae021bad38f198bc34bcf47e6a31ccf54fbd3b241,f3d407dcd3f5bd53d2f0673568cca2250fe0b438e1d6840e343b1caa7289b733,2024-05-01T00:00:00.203Z,2024-05-31T20:59:58.145Z,5054706,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAUUSD,XAU-USD,2024,6,https://jetta.dukascopy.com/v1,720,720,101569620,b8a173deb22edf4187a8f1a8229be052283706850f85b15e135b1fbbd067f2a7,564ec2ee23ad442226badd835147dfb4f08e54fdca2677aace82a8a3377e2faa,49f8ab65c6cfc1483dc74289595a224607ee8aec4fa5a1c6cf921080a4558ceb,2024-06-02T22:00:01.677Z,2024-06-30T23:59:59.978Z,4639089,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2021,7,https://jetta.dukascopy.com/v1,744,744,38608627,9050c6e330a01171b406a903e7447cd7f91c49c5310dd96eec94dc2ee52704c6,931cb8211f26941b7c64eb8b41c6f05e8a8cbadae8543399edb173534a21dfcb,6e5c0554bc64cd7881b798d2a813c2d6df07e3b5fe4cc2f2658e794bedcc9545,2021-07-01T00:00:00.200Z,2021-07-30T20:59:58.142Z,1539398,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2021,8,https://jetta.dukascopy.com/v1,744,744,32683636,1f6db34f8e617a242bc94570a100c10a3884d8a22b4a4f2182ae2e15060e0aee,135c8400252aca7be2ab848e3d0d49b141f2ecde22ca84922c06d727b6ed0fb8,c6b2e4dc62c0e75752c284f5e991739ee22443e22655e30cd5fb0b03cfe0c939,2021-08-01T22:00:00.305Z,2021-08-31T23:58:00.067Z,1299342,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2021,9,https://jetta.dukascopy.com/v1,720,720,33759892,b73fc6113c34ba750de2d8759f0e5f35dbc3a0979f9f300927e899c86ad1a515,53cc1edc7afb5054f4098d8291b967264625cbc486cc7e5e17fb20c1a2855765,43b5cf4215abe765f443c65f1986779945a13e50b7b4948c29c907017095de03,2021-09-01T00:00:05.399Z,2021-09-30T23:59:34.101Z,1349218,720,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2021,10,https://jetta.dukascopy.com/v1,744,744,38412315,ae3433c7fca78fa33686a418b0092f08e9e370ab97092911f1601cb9f0397409,da43f76f6bec05ebfb5aaac668f7692ad361669ccff912e9f4f740d0b55eed37,e49a467fd6d1c0181066b2119e95d74bacda0fa52eabc9abe1638b1a34da0834,2021-10-01T00:00:00.047Z,2021-10-31T23:59:58.467Z,1535717,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2021,11,https://jetta.dukascopy.com/v1,720,720,40669970,a7251d2f50e040aca1ad5371bdfe3f26ad236e466c0076e1206f217372b801ff,ede3b46ab3a520c7e0e8a1a1fef47a84d1ab5972608a25afe7b2c30bb7c07867,44f8aa222316da8163396f2acd63afc60d599ff17cd66206596f35ae82608426,2021-11-01T00:00:00.167Z,2021-11-30T23:59:58.304Z,1641379,720,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2021,12,https://jetta.dukascopy.com/v1,744,744,28734214,6c5537b016fc5391919a1007563916d2a9b308d89c0dc9d25ff5fe359e41fd21,43ab5026ba1e4ee466bda9582280062f025ec1751aaa8a3a304b2804b636fc42,41bf345b180d80e272c2b94e411dd1a49af1c4d94d6859a117459ccfe0a233b7,2021-12-01T00:00:01.028Z,2021-12-31T21:59:47.460Z,1151427,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,1,https://jetta.dukascopy.com/v1,744,744,34649848,86644b21252d2cd6ff81498dc89056c772f4c9d01ebeed11ca70ddebc0271dd3,4a2593aa6c9e5b2431f01b2d03f216d357a7a42e0b4d35ba388fae021b9ebab7,3e297d5f747b057ee26d42fb15c9442711608482143bd11abf0e29e112ef8c85,2022-01-02T23:00:00.375Z,2022-01-31T23:59:57.399Z,1375859,0,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,2,https://jetta.dukascopy.com/v1,672,672,39768279,e58547e5d4d584263c783b629e046e174d820d5b25e3e350197650c43b0139e1,73ac5ba237ca7c59678a9d45a38766c71c818046fb80be51be584666be0340d9,0e81b01e297df6c0333764ae4b56ed9fbdefdd8fc99244705f3fa6256e781642,2022-02-01T00:00:00.260Z,2022-02-28T23:59:56.540Z,1579781,672,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,3,https://jetta.dukascopy.com/v1,744,744,47868562,44787b935339d6994cf17572bf626088da0bd1ed197d106671b1cab5b48a80ff,47f66417282223b908208bfb879bb6b46d0533e04add406e199775794bc21d1e,191133f96c44770c8cea83e5dab2578ad322e4169f45f52d7d9f7756b66df4f3,2022-03-01T00:00:00.144Z,2022-03-31T23:59:32.957Z,1981362,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,4,https://jetta.dukascopy.com/v1,720,720,33241221,168d3ad5e95fbc4afc4be35ab9adf7f63dbf18cd5fcd7e0d5d84114bca0d4171,e954b1d9ef8d898ec52c44bdb066663ce9355f3d684b9338c181e79d1980deb3,6182433a0c36b51a1a1db1acaf34f345219ff8db744bd8880d0b83ad8463e2e3,2022-04-01T00:00:03.178Z,2022-04-29T20:59:56.148Z,1353570,720,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,5,https://jetta.dukascopy.com/v1,744,744,33810894,d76e404662ca96253452a0dae8f14f315072fd596ce5a8b09d22414a7c5fedd0,466d710a9f67b537fc2680e50f95d5b1d4deee785a922625178a5de63609aa3f,bf25e86a7d5384a5f3c94764c7a33b7e4d39a254d7c83e12a86568deb71b8e9e,2022-05-01T22:00:00.485Z,2022-05-31T23:59:59.416Z,1376741,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,6,https://jetta.dukascopy.com/v1,720,720,33313330,9dc09114920784942c3d1522fa568e8ccef81ad6ab8105f73ef0bd892a918d0d,9f61c20c7b1e00e5cbe88b2b5a95bd9a22bff8f22dfbf48ba2894d68ecdd416e,35eed7092aaeba0d65bdb435eb0a016a167216c41b567c8a31b0734b875ead2f,2022-06-01T00:00:01.215Z,2022-06-30T23:59:59.978Z,1371973,720,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,7,https://jetta.dukascopy.com/v1,744,744,33958103,c019f9e979c9b9b75cb744a125837925f09428bc20988368e15784cab17dc8d8,46866d6ef09d63aff7d81892711729b77e3fa0bc778322c86d5ab1d092a805e3,703246fcbfe79fb8c21ceaa5b36a2054e8339c8d45c161e5235c88abfe7671b9,2022-07-01T00:00:00.079Z,2022-07-31T23:59:52.488Z,1391789,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,8,https://jetta.dukascopy.com/v1,744,744,32239531,83cdb7336a14676bc2f631fac9d58ae82ebdc16ac5a5c6124e491d806102aef2,55697b5587ba211d6ab5fcdf827b53cdb17457f71c79a4e62fff1d741acc9f02,076ce6e753746b9f4f10c2ccaffbce51db520b8cbaa2e25ea8206a9bd12f2a1c,2022-08-01T00:00:00.138Z,2022-08-31T23:59:47.211Z,1316411,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,9,https://jetta.dukascopy.com/v1,720,720,41459775,7c43393b203bd7fe589cf6a9ee4744acf4934d27a2811445e9ecf490c525c5ec,4bd0f1404816c46ae11ba9fca3730b306183e9f201f519ca100109839806a1dc,6f443493643dd50c842a347d0169ea0b9ec091cb3cbba1fdfc1637a5770d1742,2022-09-01T00:00:00.100Z,2022-09-30T20:59:57.194Z,1673316,720,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,10,https://jetta.dukascopy.com/v1,744,744,48125399,da85a47086c43db3c8ef55fa2b7e58b8cb857eaa94197cced83f18415edb88f4,52ebe1e5690c6d90cc8a09fd6074ee8c7339a9aa29bdd66bc0dd6ac2b4fed8ea,7daba0e9d7c9d5dab045080525786cf8813cc2c8dccc36005d79987b4b524382,2022-10-02T22:00:00.565Z,2022-10-31T23:59:57.121Z,1932617,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,11,https://jetta.dukascopy.com/v1,720,720,49378255,27d1220614170fb647df834005393be929e8cfb321a15dd397fecad577b737d9,747c64ddaa13bf923fee5773f90ebd81b03f4687c66daf58c6285107abda70e4,2304339368a7deb7c7b2c716bdb62101a5fe9968d6892319de92d8e972cd64ac,2022-11-01T00:00:00.471Z,2022-11-30T23:59:53.932Z,1992188,720,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2022,12,https://jetta.dukascopy.com/v1,744,744,44823319,4cbd641954aae2c892225729626326ff450eb27d90997823137a8f8dfe229578,299ee319f26bebdbed37c2cf1ff28e13c20e1ad26e3cad6bcc5939f44009fa0d,ae938d58449fd2a25898755ef313a03b671c497401046950a7c014bef8c401b3,2022-12-01T00:00:00.549Z,2022-12-30T21:58:00.587Z,1792553,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2023,1,https://jetta.dukascopy.com/v1,744,744,46514109,18f372eb0a30c33ace7459637fd7b510577fa17ca2221952abbb8d5f872bef8d,41d944b1815e89e2f2baa886a0bc401e3a601376e47f2a5e20866719ea717172,8b29368f009a8cfc084def141330b192d6eee4f26c357b5cc03993f7f9b9cb4f,2023-01-02T23:02:20.462Z,2023-01-31T23:59:45.186Z,1841534,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2023,2,https://jetta.dukascopy.com/v1,672,672,42600910,ded9ff9dbcb1618e5a5c36259462fb9816746b116d441587532dc41caf9e35a8,490476f796859056a2f413a2d8d0235f3d6990e0c8898039472d576bbd1aab89,37b34ce84ba12db56d18ec4a3bc8f8c4c7d5e0f94984157427a88c6c58bb0dc5,2023-02-01T00:00:01.860Z,2023-02-28T23:59:48.811Z,1680218,672,FROZEN_COMPLETE,SHA256_VERIFIED,true
XAGUSD,XAG-USD,2023,3,https://jetta.dukascopy.com/v1,744,744,50672823,13d7614928a781a15c823b005446edbdfff040174973d743fd84215150111982,38ebcf5f47f6d86d3992d24a98503d19fcb5230dff59e844aad10403ec4af1e5,dd9b24bb8594ddbf1f8fc8414506f21cbb5436e16b9d70337687de47637d15bd,2023-03-01T00:00:00.107Z,2023-03-31T20:59:56.925Z,2009194,744,FROZEN_COMPLETE,SHA256_VERIFIED,true
