event_id,event_type,event_time_utc,event_date,reference,source_kind,source_url,release_time_rule
PPI_2018-10-10,PPI,2018-10-10 12:30:00+00:00,2018-10-10,September 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_10102018.htm,08:30 America/New_York
PPI_2018-11-09,PPI,2018-11-09 13:30:00+00:00,2018-11-09,October 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_11092018.htm,08:30 America/New_York
PPI_2018-12-11,PPI,2018-12-11 13:30:00+00:00,2018-12-11,November 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_12112018.htm,08:30 America/New_York
PPI_2019-01-15,PPI,2019-01-15 13:30:00+00:00,2019-01-15,December 2018,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01152019.htm,08:30 America/New_York
PPI_2019-02-14,PPI,2019-02-14 13:30:00+00:00,2019-02-14,January 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_02142019.htm,08:30 America/New_York
PPI_2019-03-13,PPI,2019-03-13 12:30:00+00:00,2019-03-13,February 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_03132019.htm,08:30 America/New_York
PPI_2019-04-11,PPI,2019-04-11 12:30:00+00:00,2019-04-11,March 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_04112019.htm,08:30 America/New_York
PPI_2019-05-09,PPI,2019-05-09 12:30:00+00:00,2019-05-09,April 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_05092019.htm,08:30 America/New_York
PPI_2019-06-11,PPI,2019-06-11 12:30:00+00:00,2019-06-11,May 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_06112019.htm,08:30 America/New_York
PPI_2019-07-12,PPI,2019-07-12 12:30:00+00:00,2019-07-12,June 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_07122019.htm,08:30 America/New_York
PPI_2019-08-09,PPI,2019-08-09 12:30:00+00:00,2019-08-09,July 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_08092019.htm,08:30 America/New_York
PPI_2019-09-11,PPI,2019-09-11 12:30:00+00:00,2019-09-11,August 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_09112019.htm,08:30 America/New_York
PPI_2019-10-08,PPI,2019-10-08 12:30:00+00:00,2019-10-08,September 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_10082019.htm,08:30 America/New_York
PPI_2019-11-14,PPI,2019-11-14 13:30:00+00:00,2019-11-14,October 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_11142019.htm,08:30 America/New_York
PPI_2019-12-12,PPI,2019-12-12 13:30:00+00:00,2019-12-12,November 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_12122019.htm,08:30 America/New_York
PPI_2020-01-15,PPI,2020-01-15 13:30:00+00:00,2020-01-15,December 2019,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01152020.htm,08:30 America/New_York
PPI_2020-02-19,PPI,2020-02-19 13:30:00+00:00,2020-02-19,January 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_02192020.htm,08:30 America/New_York
PPI_2020-03-12,PPI,2020-03-12 12:30:00+00:00,2020-03-12,February 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_03122020.htm,08:30 America/New_York
PPI_2020-04-09,PPI,2020-04-09 12:30:00+00:00,2020-04-09,March 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_04092020.htm,08:30 America/New_York
PPI_2020-05-13,PPI,2020-05-13 12:30:00+00:00,2020-05-13,April 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_05132020.htm,08:30 America/New_York
PPI_2020-06-11,PPI,2020-06-11 12:30:00+00:00,2020-06-11,May 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_06112020.htm,08:30 America/New_York
PPI_2020-07-10,PPI,2020-07-10 12:30:00+00:00,2020-07-10,June 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_07102020.htm,08:30 America/New_York
PPI_2020-08-11,PPI,2020-08-11 12:30:00+00:00,2020-08-11,July 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_08112020.htm,08:30 America/New_York
PPI_2020-09-10,PPI,2020-09-10 12:30:00+00:00,2020-09-10,August 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_09102020.htm,08:30 America/New_York
PPI_2020-10-14,PPI,2020-10-14 12:30:00+00:00,2020-10-14,September 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_10142020.htm,08:30 America/New_York
PPI_2020-11-13,PPI,2020-11-13 13:30:00+00:00,2020-11-13,October 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_11132020.htm,08:30 America/New_York
PPI_2020-12-11,PPI,2020-12-11 13:30:00+00:00,2020-12-11,November 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_12112020.htm,08:30 America/New_York
PPI_2021-01-15,PPI,2021-01-15 13:30:00+00:00,2021-01-15,December 2020,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01152021.htm,08:30 America/New_York
PPI_2021-02-17,PPI,2021-02-17 13:30:00+00:00,2021-02-17,January 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_02172021.htm,08:30 America/New_York
PPI_2021-03-12,PPI,2021-03-12 13:30:00+00:00,2021-03-12,February 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_03122021.htm,08:30 America/New_York
PPI_2021-04-09,PPI,2021-04-09 12:30:00+00:00,2021-04-09,March 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_04092021.htm,08:30 America/New_York
PPI_2021-05-13,PPI,2021-05-13 12:30:00+00:00,2021-05-13,April 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_05132021.htm,08:30 America/New_York
PPI_2021-06-15,PPI,2021-06-15 12:30:00+00:00,2021-06-15,May 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_06152021.htm,08:30 America/New_York
PPI_2021-07-14,PPI,2021-07-14 12:30:00+00:00,2021-07-14,June 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_07142021.htm,08:30 America/New_York
PPI_2021-08-12,PPI,2021-08-12 12:30:00+00:00,2021-08-12,July 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_08122021.htm,08:30 America/New_York
PPI_2021-09-10,PPI,2021-09-10 12:30:00+00:00,2021-09-10,August 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_09102021.htm,08:30 America/New_York
PPI_2021-10-14,PPI,2021-10-14 12:30:00+00:00,2021-10-14,September 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_10142021.htm,08:30 America/New_York
PPI_2021-11-09,PPI,2021-11-09 13:30:00+00:00,2021-11-09,October 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_11092021.htm,08:30 America/New_York
PPI_2021-12-14,PPI,2021-12-14 13:30:00+00:00,2021-12-14,November 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_12142021.htm,08:30 America/New_York
PPI_2022-01-13,PPI,2022-01-13 13:30:00+00:00,2022-01-13,December 2021,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01132022.htm,08:30 America/New_York
PPI_2022-02-15,PPI,2022-02-15 13:30:00+00:00,2022-02-15,January 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_02152022.htm,08:30 America/New_York
PPI_2022-03-15,PPI,2022-03-15 12:30:00+00:00,2022-03-15,February 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_03152022.htm,08:30 America/New_York
PPI_2022-04-13,PPI,2022-04-13 12:30:00+00:00,2022-04-13,March 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_04132022.htm,08:30 America/New_York
